Trinkflasche, Bundesfinanzministerium, 2015, ﻿ca. 15,00 , Behalten, BMF, success
'1 Buch, Schokolade', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'1 Buch,Schokolade', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kaffee, Tasse', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 F. Wein, Bundesfinanzministerium, 2015, ca. 33,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, ca. 45,00 ,  Verwertung, BMF, fail
1 Christstollen, Bundesfinanzministerium, 2015, 7 < 15,00 , Behalten, BMF, success
1 F. Wein, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 40,00 ,  Verwertung, BMF, fail
1 Akkuladegerät, Bundesfinanzministerium, 2015, < 15,00 , Behalten, BMF, success
'1 Buch, Schokolade', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Pad-Tasche, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kaffee, Tasse', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Bewirtung, Bundesfinanzministerium, 2015, n.a., Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 34,80 ,  Verwertung, BMF, fail
CD-Box (2 CDs), Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Präsentkorb, Bundesfinanzministerium, 2015, 100,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 65,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
'Kaffee, Tasse', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Buch nein Aufnahme sstück, Bundesfinanzministerium, 2015, 189,00 , Behalten, BMF, success
'1 Buch, Schokolade', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, ca. 10,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, 23,80 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, 179,99 ,  Verwertung, BMF, fail
Krawatte, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Maßband, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
3 kl. Fl. Spirituosen, Bundesfinanzministerium, 2015, ca. 50,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 10,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, ca. 60,00 ,  Verwertung, BMF, fail
Schokolade, Bundesfinanzministerium, 2015, < 60,00 ,  Verwertung, BMF, fail
