Schokolade, Bundesfinanzministerium, 2015, ﻿< 10,00 ,  Verwertung, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, n.a.,  Aufnahme Bestand Bibliothek, BMF, fail
1 Kunstdruck, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Kalender, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
3 Flascheasche Sekt, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 ,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, n.a.,  Aufnahme Bestand Bibliothek, BMF, fail
1 Buch, Bundesfinanzministerium, 2015, n.a.,  Aufnahme Bestand Bibliothek, BMF, fail
Teller, Bundesfinanzministerium, 2015, са. З0,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Bierkelch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokolade, Bundesfinanzministerium, 2015, <25,00, Behalten, BMF, success
CD, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Schokoladen-Weihnachtsmann, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
1 Buch, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Lebensmittel, Bundesfinanzministerium, 2015, <25.00, Behalten, BMF, success
Süßigkeiten, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00, Behalten, BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, <25,00, Behalten, BMF, success
'Kalender, 2 Flasche Wein', Bundesfinanzministerium, 2015, <25,00, Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, 2 Flasche Wein', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
Kalender 2 Flascheasche Wer, Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, Süßigkeiten', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Kalender, 2 Flasche Weir', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
'Süßigkeiten, Weihnachtsgebäck', Bundesfinanzministerium, 2015, < 25,00 , Behalten, BMF, success
