Geschenk; Ministerium; Datum; Wert; Verbleib
'13 Bilder z. B. chin. Bild in blauer Schachtel, Karikatur', 'Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit', seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 Bluetooth Headsets, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 fire TW Sticks, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 kleine Beutel, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'2 Schalen z. B. Silberschale, Dppelschale aus Muscheln', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 Schekel aus Israel, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 Seidentücher, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 Spiegel z.B. Kosmetikspiegel, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'2 Stofftiere z. B. chin, Stoffpferdchen', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
2 Wasen, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
3 Bücher z. B. Book of Kings, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
3 Schals z.B. aus Indien, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'3 Tassen Z.B. handgefertigte Tontassen, Thermo-Tasse', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
4 Krawatten, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'4 Teller z. B. Wandteller, Stehteller, Metallteller in blauer Schachtel', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'4 Uhren z. B. Laros Herrenuhr in schw. Schachtel, Uhr mit Schmetterling im Rahmen', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
5 ՍՏB Տticks, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'6 Bildbände z. B. Indien, Vietnam, "Historische Gärten im Klimawandel"', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
6 Flaschen Wein z. B. RotWein im Karton, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
'7 Dekorationsartikel z. B. Glasfigur, Kästchen, Model/Pokal, Teppich, Tischschmuck mit chin. Motiven, Maske, Zinnbecher', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
7 Visiteinkartemetuis, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Bademantel, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., als Spende Sozialen Zwecken zugeführt, BMU, n.a.
'Besteck z.B. Messer, Spagettibesteck', Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Bilderrahmen mit Briefmarkenedition, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Blechdose mit Taschenlampe, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
CD, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Füller aus Keramik, Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Gedenkmünze , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
Geschenkset , Bundesministerium fuer Umwelt, Naturschutz, Bau und Reaktorsicherheit, seit 2009, n.a., Verwendung bzw. Lagerung im Haus, BMU, n.a.
