1 Armbanduhr Marke Longines, Auswärtiges Amt, 2008/11/13, , Tresor, AA, fail 
1 Perlenkette An: Botschaft Dhaka, Auswärtiges Amt, 2008/10/30, , Tresor, AA, fail 
1 Armbanduhr Marke Longines An: Leiter Protokoll, Auswärtiges Amt, 2008/11/20, , Tresor, AA, fail 
1 Krawatte An: Leiter Protokoll, Auswärtiges Amt, 2008/12/19, , Lager Geschenke, AA, fail 
1 Krawatte, Auswärtiges Amt, 2008/12/19, , Lager Geschenke, AA, fail 
Schreibset Marke Pelikan, Auswärtiges Amt, 2009/01/20, , Lager Geschenke, AA, fail 
vergoldetes Floßmodell, Auswärtiges Amt, 2009/02/18, , Lager Geschenke, AA, fail 
Krawattennadel aus Granat, Auswärtiges Amt, 2009/02/18, , Lager Geschenke, AA, fail 
Kugelschreiber Marke Cartier, Auswärtiges Amt, 2009/05/18, , Lager Geschenke, AA, fail 
Kugelschreiber Marke Mont Blanc „Greta Garbot“, Auswärtiges Amt, 2009/06/23, 600, Lager Geschenke, AA, fail 
KPM-Teller „Schloss Charlottenburg“ An: Lissabon, Auswärtiges Amt, 2009/06/26, , Lager Geschenke, AA, fail 
Kugelschreiber „Special Edition“ Marke Mont Blanc, Auswärtiges Amt, 2009/07/20, ca. 600,00, Lager Geschenke, AA, fail 
Teller zur Zierde inkl. Aufsteller, Auswärtiges Amt, 2009/09/30, , Lager Geschenke, AA, fail 
Tablett, Auswärtiges Amt, 2009/09/30, , Lager Geschenke, AA, fail 
(Bild) Holzrahmen, Auswärtiges Amt, 2009/09/30, , Lager Geschenke, AA, fail 
Maske, Auswärtiges Amt, 2009/02/02, , Lager Geschenke, AA, fail 
Bildband, Auswärtiges Amt, 2009/02/13, , Lager Geschenke, AA, fail 
Dose, Auswärtiges Amt, 2009/02/18, , Lager Geschenke, AA, fail 
Bild, Auswärtiges Amt, 2009/03/24, , Lager Geschenke, AA, fail 
kl. Elefantenstatue, Auswärtiges Amt, 2009/03/24, , Lager Geschenke, AA, fail 
Deko-Teller, Auswärtiges Amt, 2009/04/08, , Lager Geschenke, AA, fail 
Wandteller, Auswärtiges Amt, 2009/04/22, , Lager Geschenke, AA, fail 
Münzen, Auswärtiges Amt, 2009/05/04, , Lager Geschenke, AA, fail 
Wappen auf Holz, Auswärtiges Amt, 2009/05/07, , Lager Geschenke, AA, fail 
Wandteller, Auswärtiges Amt, 2009/05/07, , Lager Geschenke, AA, fail 
Glasvase, Auswärtiges Amt, 2009/05/14, , Lager Geschenke, AA, fail 
Bildband, Auswärtiges Amt, 2009/05/15, , Lager Geschenke, AA, fail 
Mantel + Mütze, Auswärtiges Amt, 2009/05/25, , Lager Geschenke, AA, fail 
Schachspiel, Auswärtiges Amt, 2009/06/07, , Lager Geschenke, AA, fail 
Buch, Auswärtiges Amt, 2009/06/07, , Lager Geschenke, AA, fail 
Stiftehalter, Auswärtiges Amt, 2009/06/07, , Lager Geschenke, AA, fail 
Bild, Auswärtiges Amt, 2009/06/16, , Lager Geschenke, AA, fail 
Bild, Auswärtiges Amt, 2009/06/23, , Lager Geschenke, AA, fail 
vergoldeter Pin, Auswärtiges Amt, 2009/09/17, , Lager Geschenke, AA, fail 
Tintenroller Marke „Faber Castell“, Auswärtiges Amt, 2009/08/12, ca. 150,00, Lager Geschenke, AA, fail 
zwei Briefmarkenalben BMF, Auswärtiges Amt, 2009/10/26, , Lager Geschenke, AA, fail 
Dolch, Auswärtiges Amt, 2009/10/26, , Lager Geschenke, AA, fail 
Dolch, Auswärtiges Amt, 2009/10/26, , Lager Geschenke, AA, fail 
Dolch, Auswärtiges Amt, 2009/10/26, , Lager Geschenke, AA, fail 
Aktentasche, Auswärtiges Amt, 2009/10/26, , Lager Geschenke, AA, fail 
Stift Watermann, Auswärtiges Amt, 2009/10/26, , Lager Geschenke, AA, fail 
