Vase, Auswärtiges Amt, 2014/09/04, , Geschenkelager, AA, fail
Vase, Auswärtiges Amt, 2014/09/08, , Geschenkelager, AA, fail
Tee, Auswärtiges Amt, 2014/09/23, , Geschenkelager, AA, fail
Münze, Auswärtiges Amt, 2014/10/07, , Geschenkelager, AA, fail
Teller, Auswärtiges Amt, 2014/11/10, , Geschenkelager, AA, fail
Korkenzieher/Flaschenverschluss, Auswärtiges Amt, 2015/01/19, , Geschenkelager, AA, fail
Gemälde von Klavdij Tutta, Auswärtiges Amt, 2014/11/26, , Geschenkelager, AA, fail
Schale, 19cm Durchmesser, 24 Karat gold, Auswärtiges Amt, 2014/12/02, , Geschenkelager, AA, fail
Musikinstrument (Laute) Holz/Messing, Auswärtiges Amt, 2015/01/22, , Geschenkelager, AA, fail
Blumenvase, Auswärtiges Amt, 2015/01/22, , Geschenkelager, AA, fail
Vogelkäfig, silber, Auswärtiges Amt, 2015/01/23, , Geschenkelager, AA, fail
Duftflakon, silber, Auswärtiges Amt, 2015/01/23, , Geschenkelager, AA, fail
Bäumchen, silber auf Mamorplatte, Auswärtiges Amt, 2015/01/23, , Geschenkelager, AA, fail
Kachel im Rahmen/Bild, Auswärtiges Amt, 2015/01/24, , Geschenkelager, AA, fail
Tuareg-Kreuze, silber, Auswärtiges Amt, 2015/01/24, , VZ-BM, AA, success
2 Espresso-Tassen, silber/Messing, Auswärtiges Amt, 2015/01/20, , Geschenkelager, AA, fail
Celadon Incense Burner, Auswärtiges Amt, 2015/02/06, , Geschenkelager, AA, fail
"Verfassung von Europa" Wojciech Jastrzebowski, Auswärtiges Amt, 2015/02/05, , Geschenkelager, AA, fail
gerahmtes Foto, schwarz-weiß, Auswärtiges Amt, 2015/02/12, , Verpackungim Geschenkelager, Foto bei010-6, AA, fail
gerahmtes Bild, Masken, schwarz-weiß, Auswärtiges Amt, 2015/02/19, , 013-2 Raum1.0.43, AA, fail
gerahmtes Bild, Dorf-Szene, Auswärtiges Amt, 2015/02/22, , Geschenkelager, AA, fail
gerahmtes Bild, Händedruck, Auswärtiges Amt, 2015/02/20, , Geschenkelager, AA, fail
Vase, Stroh, goldfarben, Auswärtiges Amt, 2015/02/16, , Geschenkelager, AA, fail
Bastkorb mit Ton-Kerzenständer, Auswärtiges Amt, 2015/02/12, , Geschenkelager, AA, fail
Holzdose mit Silberdeckel, Auswärtiges Amt, 2015/02/14, , Geschenkelager, AA, fail
Porzellantassenset, Auswärtiges Amt, 2008/05/16, , Geschenkelager, AA, fail
Vase aus Kupfer und silber, kürbisförmig, Auswärtiges Amt, 2007/06/18, , Geschenkelager, AA, fail
2 Bronzestatuen ca. 40cm blau/gold, Auswärtiges Amt, 2007/01/25, , Geschenkelager, AA, fail
Wandschmuck, Pelzdecke zum Aufhängen, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
2 Schlüsselanhänger, Auswärtiges Amt, 2006/05/23, , Geschenkelager, AA, fail
Bilderrahmen 19x24cm, Auswärtiges Amt, 2007/03/15, , Geschenkelager, AA, fail
Silberne Schale mit der Eingravierung: United StatesSenate, Auswärtiges Amt, 2008/07/24, , Geschenkelager, AA, fail
Batteriebetriebene lförderanlage auf Holzsockel,spielt Musik ab, Größe 60x15cm, Auswärtiges Amt, 2007/02/19, , Geschenkelager, AA, fail
Teller inkl Aufsteller, Auswärtiges Amt, 1905/07/01, , Geschenkelager, AA, fail
Tablett, Auswärtiges Amt, 1905/07/01, , Geschenkelager, AA, fail
2 Messer ca. 30cm lang, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Bild 40x30cm, Auswärtiges Amt, 2007/03/28, , Geschenkelager, AA, fail
Standsymbol, silber, unten geöffnet, evtl. zumAufstekcen, 19x30cm, Auswärtiges Amt, 2006/03/09, , Geschenkelager, AA, fail
Bild/Seidendruck auf Karton, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Bild 30x20cm, Auswärtiges Amt, 2007/03/28, , Geschenkelager, AA, fail
Bild (kaputt), Auswärtiges Amt, 2006/04/25, , Geschenkelager, AA, fail
Wandtellerset, Blech, 5-teilig, mit verschiedenenMotiven libyscher Landschaften, Auswärtiges Amt, 2007/06/11, , Geschenkelager, AA, fail
Elefantenskulptur Kupferlegierung, Auswärtiges Amt, 2008/06/13, , Geschenkelager, AA, fail
Miniatur-Teeservice, gold/grün/rot bemalt, Auswärtiges Amt, 2007/05/29, , Geschenkelager, AA, fail
Kristallschale mit Sternen, 12x30cm, Auswärtiges Amt, 2008/03/29, , Geschenkelager, AA, fail
6 kuwaitische Segelschiffe, Holz, Auswärtiges Amt, 2006/05/21, , Geschenkelager, AA, fail
besticktes Bild mit Plastikfolie, gerahmt, 50x39cm, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
silber Empblem. religiöses Motiv gold/silber aufHolzrahmen, 24x30cm, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Flakon Arab Light Crude Oil und Arab "D" CoreSample,, 152 Million Years old, Auswärtiges Amt, 2006/05/24, , Geschenkelager, AA, fail
Arabische Kaffeekanne, silber 24x20cm, Auswärtiges Amt, 2006/05/23, , Geschenkelager, AA, fail
1 kleine Holzboote mit schwarz-weißen Kordeln, Auswärtiges Amt, 2008/07/15, , Geschenkelager, AA, fail
Brieföffner, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Lupe, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Chinesische Vase mit Holzsockel, 25cm hoch, "colorfulcrystal smear", Auswärtiges Amt, 2008/06/13, , Geschenkelager, AA, fail
Sockel aus Bruchstück der alten Staumauer vonRheinfelden und oben aufgesetzter Kubus aus Glas mitnachgebildeter Turbine, Auswärtiges Amt, 2008/06/06, , Geschenkelager, AA, fail
silbernes Schälchen mit filigranen Ornamenten inblauer Schachtel, Auswärtiges Amt, 2008/10/08, , Geschenkelager, AA, fail
steinernes Stilleben im Rahmen (24cm h, 35cm b), Auswärtiges Amt, 2006/11/03, , Geschenkelager, AA, fail
silberner TÜSIAD Teller, Auswärtiges Amt, 2008/01/21, , Geschenkelager, AA, fail
Silbermünze 3 mit Bildeinlage-Arbeiten des Sultans,des Kronprinzen und seiner Frau, Auswärtiges Amt, 2006/06/13, , Geschenkelager, AA, fail
Steinmosaik, afghanischer Reiter, rund, zumAufhängen, Durchmesser 30cm, Auswärtiges Amt, 2007/05/22, , Geschenkelager, AA, fail
Blau gemusterte Vase, Auswärtiges Amt, 2008/07/04, , Geschenkelager, AA, fail
Schreibunterlage aus braunem Leder 67cm breit,46cm hoch), Auswärtiges Amt, 2006/11/23, , Geschenkelager, AA, fail
Goldmünze Durchmesser ca 6cm, Auswärtiges Amt, ???, , Geschenkelager, AA, fail
Prozellanteller, "Kütahya Porselen", mit goldenerVerzierung, Rankenmuster, Auswärtiges Amt, 2006/06/02, , Geschenkelager, AA, fail
Spieluhr Karussel mit 3 Pferden, Auswärtiges Amt, 2008/10/04, , Geschenkelager, AA, fail
