Das neue Wörterbuch für Leichte Sprache, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/2/17, Behalten, BMAS, success
Taschenrechner, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/26, Behalten, BMAS, success
1 Krawatte für Vortrag vor einer Delegation der vietnamesich-deutschen Wirtschaftsförderungsgesellschaft über Soziale Sicherung in Deutschland, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/21, Behalten, BMAS, success
"1 Krawatte, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/19, Behalten (Dienstgebrauch), BMAS, success
"CD ""Soldier of Love"" von Sade im Rahmen der Sitzung der Pflegekommission", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/2, Behalten, BMAS, success
"Buch ""Wir sind das Volk"" v. Gerhard A. Ritter", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/1/11, Behalten, BMAS, success
"4. Auflage Kommentar zum Betriebsrentengesetz von Marita Heinz, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/20, Abgabe Dienstherr, BMAS, success
4. Auflage Kommentar zum Betriebsrentengesetz, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/10, Abgabe Dienstherr, BMAS, success
Ersttagsblatt Sonderpostzeichen Knappschaft bei Feier 750 Jahre Knappschaft, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/16, Behalten, BMAS, success
"3 Flaschen Wein (Riesling, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/8/5, Behalten (Dienstgebrauch), BMAS, success
1 Flasche Assmannshäuser Höllenberg Spätburgunder für Teilnahme an Landräteseminar, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/8/18, Behalten, BMAS, success
1 Krawatte für Vortrag von vietnames. Delegation organisiert von der vietnamesich-deutschen Wirtschaftsförderungsgesellschaft mbH, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/30, Behalten, BMAS, success
Lesezeichen als Gastgeschenk bie einer chin. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/9, Behalten, BMAS, success
Buch über die Philippinen beim Treffen einer Botschaftsvertreterin, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/9, Behalten, BMAS, success
Seidentuch bei Besuch einer indonesichen Delegation am 14.12.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/20, Behalten, BMAS, success
Kalender 2011 zum Jahreswechsel im Bereich Sozialpolitik, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/13, Behalten, BMAS, success
Lesezeichen für Vortrag bei chin. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/13, Behalten, BMAS, success
Tageskarte Cebit für 05.03.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/1, Behalten (Dienstgebrauch), BMAS, success
"1 Flasche Wein, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/10/7, Behalten (Dienstgebrauch), BMAS, success
Sozialgesetzbuch Textausgabe 2010 der Knappschaft Bahn See, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/7, Behalten, BMAS, success
"Manschettenknöpfe, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/6/10, Abgabe Dienstherr, BMAS, success
Das neue Wörterbuch für Leichte Sprache, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/2/17, Behalten, BMAS, success
Tageskarte Cebit für 03.03.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/3/3, Behalten (Dienstgebrauch), BMAS, success
Kapuzenjacke/T-shirt des Paritätischen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/9, Behalten, BMAS, success
Leichte Wind-Jacke mit Firmen-Logo anläßlich einer Mitarbeiter/innen-Schulung des BMAS-Bürgertelefons zum Thema Webportal einfach-teilhaben.de, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/20, Behalten, BMAS, success
Tageskarte Cebit für Zeitraum 02.-06.03.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/1/26, Behalten (Dienstgebrauch), BMAS, success
"Zwei Porzellanbecher ""Royal Copenhagen"" Konferenz anl. von Reha Intern. am 10.11.2010 in Kopenhagen", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/24, Behalten, BMAS, success
Wandkalender für 2011 mit Ikebanamotiven von Sozialreferent der Botschaft Japan, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/16, Behalten, BMAS, success
Haarmeyer/Wutzke/Förster Präsenzkommentar zur Insolvenzordnung bei Gläubigerforum am 18.11.2010, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/23, Behalten, BMAS, success
"Brettspiel ""kick it"" als Weihnachtsgruß", Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/20, Behalten, BMAS, success
Taschenspiegel einer jap. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/25, Behalten, BMAS, success
Wildschweinslami + Schneidemesser minderer Qualität, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/12/22, Behalten, BMAS, success
"Farbiges Stofftuch ca. 2x1m für Vortrag vor indon. Delegation, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/23, Behalten (Dienstgebrauch), BMAS, success
"4. Auflage Kommentar zum Betriebsrentengesetz von Marita Heinz, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/4/20, Abgabe Dienstherr, BMAS, success
4. Auflage Kommentar zum Betriebsrentengesetz, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/5/10, Abgabe Dienstherr, BMAS, success
Eintrittskarte zur Messe Orgatec im Zuge von Mitgliedschaft des BMAS im dnb (Deutsches Netzwerk Büro e.V.), Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/18, Behalten, BMAS, success
Kamm aus Horn bei Delegationsreise des chin. Ministeriums mit Gespräch im BMAS, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/11/12, Behalten, BMAS, success
Leichte Wind-Jacke mit Firmen-Logo anläßlich einer Mitarbeiter/innen-Schulung des BMAS-Bürgertelefons zum Thema trägerübergreifendes Persönliches Budget, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/9/20, Behalten, BMAS, success
1 Flasche Wein bei  Landräteseminar Hessen, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/8/25, Behalten, BMAS, success
Bild und DVD als Dank für den Vortrag über die Regelungen des über- und zwischenstaatl. Sozialversicherungsrechts, Bundesministerium fuer Arbeit und Soziales, 2015, 2010/7/16, Abgabe Dienstherr, BMAS, success
