Backformen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung - wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, fail
1 Buch  "Diakonie Stetten – Der Fluss des Lebens" (Blum/Grohmann), Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, fail
Topaz-Äpfel, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, An  der Pforte für Mitarbeiterinnen und  Mitarbeiter zur  Verfügung gestellt, BMFSFJ, fail
4 Kästchen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "Zwischen zwei politischen  Kulturen", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Soziale Innovationen in  Deutschland", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 Stifthalter für den Schreibtisch, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "Ich bin eine Deutsche aus  Afghanistan", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ Buch „Synagoge Rykestraße“, BMFSFJ, success
1 Dinkelkissen, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
Briefmarken, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Minischachspiel mit Zubehör, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Bild, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einziehung -  wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung, BMFSFJ, success
1 Buch "Lernlust. Worauf es im Leben wirklich ankommt", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
1 USB-Stick, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Tuschmaschine, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, < 25, Verbleib beim  Beschäftigten "1 Buch „Mehr Wesentliches;  Kinderhospiz Balthasar, BMFSFJ, success
1 Blumenstrauß, Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, Wert  < 25, Verbleib beim  Beschäftigten, BMFSFJ, success
1 Buch "Altwerden ist  nichts für Feiglinge", Bundesministerium für Familie, Senioren, Frauen und Jugend, seit 10/2009, unbekannt, Einlieferung in die  Bibliothek des BMFSFJ, BMFSFJ, success
