eingerahmte Briefmarken (Rumänien), Bundesministerium des Innern, 2009-20011, n.a., Tombola, BMI, fail
Bildband "Beautiful L`Aquila Must Never Die", Bundesministerium des Innern, 2009-20011, n.a., Tombola, BMI, fail
Teeservice, Bundesministerium des Innern, 2009-20011, n.a., Tombola, BMI, fail
Glasblock, Metallteller, 2 Gläser, 1 Flasche Whisky, Bundesministerium des Innern, 2009-20011, n.a., Tombola, BMI, fail
Silber-Becher, Bundesministerium des Innern, 2009-20011, 200.00 , Versteigerung (Hauptzollamt), BMI, fail
Buch, Bundesministerium des Innern, 2009-20011, 13.22 , Tombola, BMI, fail
Gedenktafel, Bundesministerium des Innern, 2009-20011, 13.22 , Tombola, BMI, fail
Krawattennadel-Set, Bundesministerium des Innern, 2009-20011, ca. 17 , Tombola, BMI, fail
Tischdecke der schwed. Firma Klässbols, Bundesministerium des Innern, 2009-20011, 295.90 , Versteigerung (Hauptzollamt), BMI, fail
Schachtel mit drei Stechformen für Plätzchen sowie ein Rezeptheft, Bundesministerium des Innern, 2009-20011, 295.90 , Tombola, BMI, fail
Leder-Notizbuch Marke "Bodenschatz", Bundesministerium des Innern, 2009-20011, 36.90 , Tombola, BMI, fail
Laser-Entfernungsmesser Marke "Bosch", Bundesministerium des Innern, 2009-20011, 39.99 , Tombola, BMI, fail
Kugelschreiber, Schlüsselanhänger, Bundesministerium des Innern, 2009-20011, 39.99 , Tombola, BMI, fail
Tischkalender, Bundesministerium des Innern, 2009-20011, 39.99 , Inventarisierung, BMI, fail
Schachtel mit drei Stechformen für Plätzchen sowie ein Rezeptheft, Bundesministerium des Innern, 2009-20011, 39.99 , Tombola, BMI, fail
Olypiamünzen 2008, Bundesministerium des Innern, 2009-20011, 39.99 , Tombola, BMI, fail
Bildband "Unterwasserwelt der kroatischen Adria", Bundesministerium des Innern, 2009-20011, 39.99 , Tombola, BMI, fail
CeBIT-Tageskarte, Bundesministerium des Innern, 2009-20011, 33.00, dienstliche Nutzung durch Mitarbeiter des BMI, BMI, fail
1 Wimpel, 1 Schal, 1 Basekap von Dinamo Minsk, Bundesministerium des Innern, 2009-20011, 33.00, Tombola, BMI, fail
Museumsführer Prado Kunstbuch zu Marice de Vlamnick, Bundesministerium des Innern, 2009-20011, 33.00, Selbstbehalt gegen Spende (Spendennachweis eingegangen), BMI, success
Handbücher für den öffentl. Dienst in Deutschland 2010, Bundesministerium des Innern, 2009-20011, je 23,90, 1 Selbstbehalt 1 Bibliothek, BMI, success
1 Bildband, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
1 Ledergürtel, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
1 Kerzenleuchter, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
1 Dienststellenplakette 1 Wandbild, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
1 Krawatte, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
Kompass, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
Handbücher für den öffentl. Dienst in Deutschland 2010, Bundesministerium des Innern, 2009-20011, je 23,90, dienstl. Nutzung durch Mitarbeiter des Referates, BMI, success
Schmuckkästchen, Bundesministerium des Innern, 2009-20011, je 23,90, Tombola, BMI, success
DVD Museumsdorf Dudutki, Bundesministerium des Innern, 2009-20011, mehrere Stoffschals 2 kleine Keramikkrüge 2 Sets Abzeichen Sondereinheit Speznaz 2 Wimpel Speznaz 1 Schachspiel 1 Bison Holz Wandwappen Innenministerium Belarus 1 bemalte Flasche mit 4 Kammern 1 Kaffeeservice", , BMI, success
