Buch Internationales Vertragsrecht, Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 199,00 , Bibliothek BMJV, BMJV, fail
Kalender des Korsch-Verlages , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00 , Mitarbeiter, BMJV, success
1 Flasche Wein , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00, BMJV, BMJV, success
Buch Götting/Nordeman UWG" Handkommentar", Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 98,00, Bibliothek BMJV, BMJV, success
2 Kalender für das Jahr 2010 , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, Je 25,00 , Mitarbeiterin, BMJV, success
Miniatur eines Löwens , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00, Mitarbeiter, BMJV, success
1 Flasche Wein , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00, Mitarbeiter, BMJV, success
1 Kassette mit kleinen Skulpturen von Gesichtsmasken für Opern, Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00 , Mitarbeiter, BMJV, success
1 Flasche Champagner , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00 , Mitarbeiter , BMJV, success
1 Taschenkalender , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 10,00 , Mitarbeiter, BMJV, success
1 Wandkalender , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 10,00 ,  Mitarbeiter, BMJV, success
1 Notebock Delllnspirion Mini 10, Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 249,00 , BMJV, BMJV, success
1 ledergebundener Jahreskalender , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, ca. 15,00,  Mitarbeiterin, BMJV, success
1 Wandkalender , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 15,95 , Mitarbeiter , BMJV, success
1 Buchkalender für 2010 , Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 25,00 ,  Mitarbeiter, BMJV, success
Buch Geschäftsanteilabtretungen im Ausland, Bundesministerium der Justiz und für Verbraucherschutz, seit 10/2009, 24,90 , Mitarbeiter, BMJV, success
