Einladung eines Angehörigen zur Teilnahme an einer Kinopremiere , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung, BMV, success
ein Buch , Bundesministerium der Verteidigung, seit 10/2009, 18,00 , kostenfreie Überlassung, BMV, success
ein Taschenmesser , Bundesministerium der Verteidigung, seit 10/2009, 45,00 , Rückgabe an Schenkungsgeber , BMV, success
Präsentkarton mit drei Flaschen Wein , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung , BMV, success
eine Flasche Weinbrand 0,35 I , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassung . , BMV, success
Flasche Champagner , Bundesministerium der Verteidigung, seit 10/2009, < 25,00 , kostenfreie Überlassul}g_ , BMV, success
Postwertzeichen , Bundesministerium der Verteidigung, seit 10/2009, 75,00 , Vereinnahmung in den Bestand der Bw , BMV, success
CHN-Uhr , Bundesministerium der Verteidigung, seit 10/2009, 49,00 , Vereinnahmung in den Bestand der Bw , BMV, success
Wappenteller , Bundesministerium der Verteidigung, seit 10/2009, 18,90 , kostenfreie Überlassung , BMV, success
Holzkiste Rotwein + Weinutensilien , Bundesministerium der Verteidigung, seit 10/2009, 24,30 , kostenfreie Überlassung , BMV, success
Flaschenöffner , Bundesministerium der Verteidigung, seit 10/2009, 29,00 ,  persönliche Verwendung gg. Bezahlung, BMV, success
Buch "Geschichte der U-Boot-Seerohre bei Carl Zeiss, Bundesministerium der Verteidigung, seit 10/2009, 29,95 , persönliche Verwendung gg. Bezahlung, BMV, success
Uhr auf Sockel , Bundesministerium der Verteidigung, seit 10/2009, 30,00 , persönliche Verwendung gg. Bezahlung, BMV, success
Rollbild Seidenstickerei , Bundesministerium der Verteidigung, seit 10/2009, 39,90 , persönliche Verwendung gg. Bezahlung , BMV, success
Kaftan , Bundesministerium der Verteidigung, seit 10/2009, 45,00 , persönliche Verwendung gg. Bezahlung , BMV, success
Taschenmesser , Bundesministerium der Verteidigung, seit 10/2009, 45,00 , persönliche Verwendung gg. Bezahlung , BMV, success
Teeservice , Bundesministerium der Verteidigung, seit 10/2009, 48,61 , persönliche Verwendung gg. Bezahlung , BMV, success
Mongolischer Reiter , Bundesministerium der Verteidigung, seit 10/2009, 49,90 , persönliche Verwendung gg. Bezahlung , BMV, success
Krawatte+Manschettenknöpfe , Bundesministerium der Verteidigung, seit 10/2009, 50,00 , persönliche Verwendung gg. Bezahlung , BMV, success
Metallbild (lndonesien) , Bundesministerium der Verteidigung, seit 10/2009, 55,00 , persönliche Verwendung gg. Bezahlung , BMV, success
