Bildband "Contemporary Architectura in Eurasia" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2 Manschettenknöpfe u. Krawattenadel , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
kl. Kästchen mit 5 Untersetzer , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2 chin. Schriftenrollen , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
chin. Seidenbild, gerahmt , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Duschkopf "Rainshower lcon" - Fa. Grohe , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Die Heilkraft der Pilze" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Was tun, wenn der Crash kommt?" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
mongolischer Wandbehang , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Armbanduhr (Russland) incl. Anstecknadel , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Teeservice aus China , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Teppich aus China , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Flugzeumodell , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Wandteller mit Ständer (Kasachstan) , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Postwertzeichenbuch 2008 , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Ein anderes Leben - Per Olov Enquist" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Aufbruch - Ulla Hahn" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Brüder- Yu Hua" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Schau heimwärts, Engel - Thomas Wolfe" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Wegelagerer- Cirdt Schnibben" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: " Das grössere Glück - Richard Powers" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Das Glück in glücksfernen Zeiten" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Die Eleganz des Igels- Muriel Barbery" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Herr Nakano und die Frauen - H. Kawakami , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Teppich aus Libyen 200 cm x 300 cm , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Teppich aus Libyen 1 00 cm x 165 cm , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2 x CD "Musik auf Villa Hügel 2009" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
ki.Bild unter Glas: Felsenhaus Jemen , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2x Bildband: "Subodh Gupta" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
CD-Box "Eternal Melody" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Bildband "Unserer lebendiger Planet" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2 kl. Folklorepuppen , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Glasplatte , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
3 Pakete Lesezeichen , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2 x DVD "Olympische Spiele 2008" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Chin. Schriftenrolle (Seidenbild} , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Schal , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
2 Halstücher , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Box mit Miniatur-Bronzepferd , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Teller in grüner Samtbox , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
kl. Teppich , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Buch: "Unterwegs zu einem ökolog. Wirtschafswunder" - Maximilian Gege , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Münze - Bank von Rumänien , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Kaffeebecher "Rosenthal" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Silberschale in Schatulle , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Mini Taschenlampe "Mini Magalitie" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
CD-Box- "Frohlocket ihr Völker auf Erden" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
Tischuhr: .. Things Remernbered - Canbury- Quartz" , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
1 Fl Becherocka Wodga incl. 2 kl. Gläser , Bundesministerium für Wirtschaft und Energie, 2010/01/27, n.a., n.a., BMWi, fail
