Das neue Wörterbuch für Leichte Sprache, 2010, 2, 17, 00,00, Behalten, success, BMAS
Taschenrechner, 2010, 5, 26, 00,00, Behalten, success, BMAS
1 Krawatte für Vortrag vor einer Delegation der vietnamesich-deutschen Wirtschaftsförderungsgesellschaft über Soziale Sicherung in Deutschland, 2010, 9, 21, 00,00, Behalten, success, BMAS
"1 Krawatte, 2010, 10, 19, 00,00, Behalten (Dienstgebrauch), success, BMAS
"CD ""Soldier of Love"" von Sade im Rahmen der Sitzung der Pflegekommission", 2010, 3, 2, 00,00, Behalten, success, BMAS
"Buch ""Wir sind das Volk"" v. Gerhard A. Ritter", 2010, 1, 11, 00,00, Behalten, success, BMAS
"4. Auflage Kommentar zum Betriebsrentengesetz von Marita Heinz, 2010, 4, 20, 00,00, Rueckgabe, fail, BMAS
4. Auflage Kommentar zum Betriebsrentengesetz, 2010, 5, 10, 00,00, Abgabe Dienstherr, fail, BMAS
Ersttagsblatt Sonderpostzeichen Knappschaft bei Feier 750 Jahre Knappschaft, 2010, 11, 16, 00,00, Behalten, success, BMAS
"3 Flaschen Wein (Riesling, 2010, 8, 5, 00,00, Behalten (Dienstgebrauch), success, BMAS
1 Flasche Assmannshäuser Höllenberg Spätburgunder für Teilnahme an Landräteseminar, 2010, 8, 18, 00,00, Behalten, success, BMAS
1 Krawatte für Vortrag von vietnames. Delegation organisiert von der vietnamesich-deutschen Wirtschaftsförderungsgesellschaft mbH, 2010, 9, 30, 00,00, Behalten, success, BMAS
Lesezeichen als Gastgeschenk bie einer chin. Delegation, 2010, 11, 9, 00,00, Behalten, success, BMAS
Buch über die Philippinen beim Treffen einer Botschaftsvertreterin, 2010, 11, 9, 00,00, Behalten, success, BMAS
Seidentuch bei Besuch einer indonesichen Delegation am 14.12.2010, 2010, 12, 20, 00,00, Behalten, success, BMAS
Kalender 2011 zum Jahreswechsel im Bereich Sozialpolitik, 2010, 12, 13, 00,00, Behalten, success, BMAS
Lesezeichen für Vortrag bei chin. Delegation, 2010, 12, 13, 00,00, Behalten, success, BMAS
