13.11.2008,,1 Armbanduhr Marke Longines,,Tresor
,,,,
30.10.2008,"Botschaft
Dhaka",1 Perlenkette,,Tresor
,,,,
20.11.2008,"Leiter
Protokoll",1 Armbanduhr Marke Longines,,Tresor
,,,,
19.12.2008,"Leiter
Protokoll",1 Krawatte,,"Lager
Geschenke"
,,,,
19.12.2008,,1 Krawatte,,"Lager
Geschenke"
,,,,
20.01.2009,,Schreibset Marke Pelikan,,"Lager
Geschenke"
,,,,
18.02.2009,,vergoldetes Floßmodell,,"Lager
Geschenke"
,,,,
,,Krawattennadel aus Granat,,"Lager
Geschenke"
,,,,
18.05.2009,,Kugelschreiber Marke Cartier,,"Lager
Geschenke"
,,,,
23.06.2009,,"Kugelschreiber Marke Mont Blanc
„Greta Garbot“",600,"Lager
Geschenke"
,,,,
26.06.2009,Lissabon,"KPM-Teller „Schloss
Charlottenburg“",,"Lager
Geschenke"
,,,,
20.07.2009,,"Kugelschreiber „Special Edition“
Marke Mont Blanc","ca. 600,00","Lager
Geschenke"
,,,,
,,,,"Lager
Geschenke"
,,,,
30.09.2009,,Teller zur Zierde inkl. Aufsteller,,"Lager
Geschenke"
,,,,
30.09.2009,,Tablett,,"Lager
Geschenke"
,,,,
30.09.2009,,(Bild) Holzrahmen,,"Lager
Geschenke"
,,,,
02.02.2009,,Maske,,"Lager
Geschenke"
,,,,
13.02.2009,,Bildband,,"Lager
Geschenke"
,,,,
18.02.2009,,Dose,,"Lager
Geschenke"
,,,,
24.03.2009,,Bild,,"Lager
Geschenke"
,,,,
,,kl. Elefantenstatue,,"Lager
Geschenke"
,,,,
,,,,
08.04.2009,,Deko-Teller,,"Lager
Geschenke"
22.04.2009,,Wandteller,,"Lager
Geschenke"
04.05.2009,,Münzen,,"Lager
Geschenke"
,,,,
07.05.2009,,Wappen auf Holz,,"Lager
Geschenke"
,,,,
07.05.2009,,Wandteller,,"Lager
Geschenke"
14.05.2009,,Glasvase,,"Lager
Geschenke"
15.05.2009,,Bildband,,"Lager
Geschenke"
,,,,
25.05.2009,,Mantel + Mütze,,"Lager
Geschenke"
,,,,
07.06.2009,,Schachspiel,,"Lager
Geschenke"
,,,,
07.06.2009,,Buch,,"Lager
Geschenke"
,,,,
07.06.2009,,Stiftehalter,,"Lager
Geschenke"
,,,,
16.06.2009,,Bild,,"Lager
Geschenke"
,,,,
23.06.2009,,Bild,,"Lager
Geschenke"
,,,,
17.09.2009,,vergoldeter Pin,,"Lager
Geschenke"
,,,,
12.08.2009,,Tintenroller Marke „Faber Castell“,"ca. 150,00","Lager
Geschenke"
,,,,
26.10.2009,,zwei Briefmarkenalben BMF,,"Lager
Geschenke"
,,,,
,,Dolch,,"Lager
Geschenke"
,,,,
,,Dolch,,"Lager
Geschenke"
,,,,
,,Dolch,,"Lager
Geschenke"
,,,,
,,Aktentasche,,"Lager
Geschenke"
,,,,
,,Stift Watermann,,"Lager
Geschenke"
,,,,
,,2 Münzen,,"Lager
Geschenke"
,,,,
,,Münzen,,"Lager
Geschenke"
,,,,
,,Münzen,,"Lager
Geschenke"
,,Münzen,,"Lager
Geschenke"
,,Stift,,"Lager
Geschenke"
,,2 Stifte,,"Lager
Geschenke"
,,Uhr,,"Lager
Geschenke"
,,Brieföffner,,"Lager
Geschenke"
,,Silberdose Tiffany,,"Lager
Geschenke"
,,Bild mit Dolch,,"Lager
Geschenke"
,,Teller,,"Lager
Geschenke"
,,Bildband,,"Lager
Geschenke"
,,Wandteller,,"Lager
Geschenke"
,,Triptychon,,"Lager
Geschenke"
,,CD,,"Lager
Geschenke"
,,Glasschale,,"Lager
Geschenke"
,,Glasschachspiel,,"Lager
Geschenke"
,,Siegel,,"Lager
Geschenke"
,,Dalvey,,"Lager
Geschenke"
,,Besteck,,"Lager
Geschenke"
,,"Vase Malachit, blau",,"Lager
Geschenke"
,,Bild mit Silberrahmen,,"Lager
Geschenke"
,,"Bild mit gelbgoldenem Rahmen
„Couvent de Casa fumien“",,"Lager
Geschenke"
,,"„Ancient Glass Vessels“ antikes
Glasschälchen, klein",,"Lager
Geschenke"
,,2 Silbertruhen,,"Lager
Geschenke"
,,,,
31.10.2009,,"DVD's: The Pianist, The Three
Colours Trilogy, Polnischer Film
Buch: Poland - A History von
Adam Zamoyski",,"Lager
Geschenke"
,,,,
31.10.2009,,"Silberner Füllfederhalter mit
Tintenfass in Holzkiste, Firma
Waldmann",,"Lager
Geschenke"
,,,,
02.11.2009,,"Vase, Firma Schoonhoven
Keramiek, ca. 30 cm hoch, vom
Künstler Corneille gestaltet",,"Lager
Geschenke"
,,,,
02.11.2009,,"Quadratische Keramikschale mit
Wappen der Französischen
Republik, Farben: weiß, blau, gold
(ca. 17x17 cm), Firma Raynaud
Limoges",,"Lager
Geschenke"
,,,,
02.11.2009,,"Goldene Medaille BM Dr. Guido
Westerwelle gewidmet,
Durchmesser ca. 9 cm",,"Lager
Geschenke"
,,,,
02.11.2009,,"Hellblaue quadratische Schale
(ca. 12x12 cm)",,"Lager
Geschenke"
,,,,
03.11.2009,,"Buch Die Stadt Luxemburg:
Streifzüge und Impressionen,
von Georges Hausemer und Rob
Kieffer",,"Lager
Geschenke"
,,,,
03.11.2009,,"Schmuckschatulle aus Holz zum
verschließen (17x26 cm)",,"Lager
Geschenke"
,,,,
03.11.2009,,"Silber eingefasster Bilderrahmen
(ca. 19x24 cm)",,"Lager
Geschenke"
06.11.2009,,"Silberner Teller, innen florales
Muster Farben: blau, rot, türkis,
weiß (Durchmesser ca. 18 cm) in
blauer Schachtel",,"Lager
Geschenke"
05.11.2009,,"Silberner Teller mit Gravur
United States Senate
(Durchmesser 21 cm)",,"Lager
Geschenke"
,,,,
,,,,
05.11.2009,,"2 Manschettenknöpfe in silber
und gold mit Gravur Hillary
Rodham Clinton",,"Lager
Geschenke"
,,,,
08.11.2009,,"Freedom Award, Statue aus Glas
(ca. 25 cm hoch)",,"Lager
Geschenke"
,,,,
08.11.2009,,"Deutschlandstuhl in Holzkiste 
ca.
20 cm hoch)",,"Lager
Geschenke"
,,,,
06.11.2009,,"2 Skulpturen in rot, Kugel
Spieler von Wang Shugang
Figuren im Büro des BM",,"Lt. Mitteilung
BM-Vz. Vom
09.12.2010 ist
dies ein
privates
Geschenk an
BM"
,,,,
12.11.2009,,"Goldener Kugelschreiber, Caran
d'Ache Genève",,"Lager
Geschenke"
,,,,
13.11.2009,,"Kristallfigur, Motiv Gebäude 
10
cm x 10 cm)",,"Lager
Geschenke"
,,,,
13.11.2009,,"Blechfigur, Motiv: Mann, mit
Schweizer Flagge in der Hand",,"Lager
Geschenke"
,,,,
20.11.2009,,"Weiße Porzellankanne mit blauer
Verzierung (ca. 21 cm hoch)",,"Lager
Geschenke"
,,,,
23.11.2009,,"Quadratisches Bild in Gold mit
hebräischer Inschrift (ca. 30 cm x
30 cm), Designer: A. Klein Ltd.",,"Lager
Geschenke"
,,,,
13.11.2009,,"Füllfederhalter mit Inschrift
Presidencia del Gobierno
España, Holzgriff, silberner
Deckel",,"Lager
Geschenke"
,,,,
23.11.2009,,"lbild auf Leinwand, Motiv: Mann
mit Fisch in der Hand (50 cm x 30
cm)",,"Lager
Geschenke"
,,,,
,,,,
23.11.2009,,"Gewebter Teppich zur
Wanddekoration auf Stange
aufgezogen, Farben Rot, Schwarz",,"Lager
Geschenke"
,,,,
01.12.2009,,"Schwarzes Rugby-Trikot für die
Weltmeisterschaft",,"Lager
Geschenke"
,,,,
03.12.2009,,"Fotoalbum 
aus Holz 
ca. 24 cm x
30 cm)",,"Lager
Geschenke"
,,,,
10.12.2009,,"Teller in Schachtel 
silber und
gold), Durchmesser ca. 12 cm",,"Lager
Geschenke"
,,,,
11.12.2009,,"Kleine Statue ca. 25 cm hoch,
betende Frau (vielleicht Mutter
Theresa)",,"Lager
Geschenke"
,,,,
21.12.2009,,"Kreisrunde Wanddekoration 2x ,
Muschelkette",,"Lager
Geschenke"
,,,,
21.12.2009,,Teppich,,"Lager
Geschenke"
,,,,
21.12.2009,,Tuch,,"Lager
Geschenke"
,,,,
21.12.2009,,"Set: Bilderrahmen, Stift und
Visitenkartenorganizer in Box",,"Lager
Geschenke"
,,,,
21.12.2009,,"2 Teppiche in grünem Stoff
eingepackt",,"Lager
Geschenke"
,,,,
21.12.2009,,2 Weihnachtskugeln,,"Lager
Geschenke"
,,,,
28.12.2009,,Silberner Dolch eingerahmt,,"Lager
Geschenke"
,,,,
28.12.2009,,"2 bemalte Teller, Motiv: BM
Westerwelle und Michael Mronz
(Durchmesser ca. 40 cm)",,"Lager
Geschenke"
,,,,
???,,"Silberne Schale 
Stiftablage 
mit
Gravur Il Ministro Degli Affari
Esteri",,"Lager
Geschenke"
,,,,
???,,"Bleikristall mit Gravur I planted a
tree on Malta",,"Lager
Geschenke"
,,,,
07.01.2010,,"Dose mit Deckel aus Glas, gold
mit roten Steinen besetzt",,"Lager
Geschenke"
,,,,
09.01.2010,,"Krippenspiel",,BM-Büro
,,,,
09.01.2010,,"Buch Museum of Islamic Art -
Doha - Quatar von Philip Jodidio",,"Lager
Geschenke"
,,,,
,,,,
08.01.2010,,"Goldener Rahmen in Form eines
Fensters mit Rundbogen (ca. 15
cm x 25 cm)",,"Lager
Geschenke"
,,,,
11.01.2010,,"Waffe, versilberter Dolch",,"Lager
Geschenke"
07.01.2010,,"Bild der Botschaft Ankara von
1925 (ca. 30cm x 90 cm)",,"Lager
Geschenke"
,,,,
07.01.2010,,"2 Bücher Constantinople - The
Patriarchal Cathedrals",,"Lager
Geschenke"
14.01.2010,,"Lackdose rechteckig 
ca. 10 cm x
12 cm)",,"Lager
Geschenke"
,,,,
14.01.2010,,"Holzglocke, ca. 3 cm groß und
Bilderbuch mit Vogelmotiven",,"Lager
Geschenke"
,,,,
14.01.2010,,"Vase weiß mit blauen Blumen 
ca.
23 cm hoch)",,"Lager
Geschenke"
,,,,
14.01.2010,,"Glücksbringer Daruma,
großer, bunt gestalteter Kopf",,"Lager
Geschenke"
,,,,
15.01.2010,,"Große, bauchige rote Vase mit
floralem Muster und Standfuß (ca.
30 cm hoch)",,"Lager
Geschenke"
,,,,
15.01.2010,,"Schal in Schachtel 
Expo
Shanghai China)",,"Lager
Geschenke"
,,,,
20.01.2010,Zentrale,Silberschmuck-Set,,"Lager
Geschenke"
,,,,
31.08.2009,,Bildband,,"Lager
Geschenke"
,,,,
???,,Dolch,,"Lager
Geschenke"
,,,,
22.10.2009,,7 CD Box,,"Lager
Geschenke"
,,,,
30.10.2009,,Münzen,,"Lager
Geschenke"
,,,,
23.12.2009,,Bildband,,"Lager
Geschenke"
,,,,
23.12.2009,,Bildband,,"Lager
Geschenke"
,,,,
23.12.2009,,Bildband,,"Lager
Geschenke"
,,,,
01.02.2010,,"Restaurantgutschein 50,00",50,"Am
15.02.2010
weitergeleitet
an FFD Berlin"
,,,,
15.01.2010,,"Steinschale 
Kristallgestein? 
und
goldene Anstecknadel",,"Lager
Geschenke"
,,,,
10.01.2010,,"Ölbild auf Leinwand von Fahad
Abdulla Jaber (hängt im
Vorzimmer BM)",,"Lager
Geschenke"
,,,,
27.01.2010,,"Silberne Weltkarte World Map,
Jerusalem in Center of the World
in Itinerarium Sacrae Scriptura
by HeinrichBuentig.",,"Lager
Geschenke"
,,,,
01.01.2010,,"Skulptur in Form einer Frau von
Luis Duque namens Velàzquez
I, Copyright Nr. M-106.338",,"Lager
Geschenke"
,,,,
"Anfang
Januar 2010",,"2 große rote Bücher From
Konstantiniyye to Istanbul Sinan
Genim",,BM-Büro
,,,,
02.02.2010,,"Marmorfigur in Form einer Violine
(ca. 14 cm hoch)",,"Lager
Geschenke"
,,,,
02.02.2010,,"Silberschale mit Segelschiff-
Symbol in der Mitte (Durchmesser
ca. 18 cm)",,"Lager
Geschenke"
,,,,
02.02.2010,,"Marmorrelief (ca. 8 cm x 4,5 cm)",,"Lager
Geschenke"
,,,,
05.02.2010,,"3 Tassen und 1 Teller (schwarz-
gold verziert)",,"Lager
Geschenke"
,,,,
???,,Silberarmband mit Kupfereinlage,,"Lager
Geschenke"
,,,,
01.03.2010,,"Tissot Herrenarmbanduhr,
silberfarben","ca. 325
(lt. Internet)",Tresor
,,,,
???,Zentrale,Perlenkette,"ca. 120",Tresor
,,,,
???,"Botschaft
Wien","Puls-Uhr, Suunto","ca. 70",Tresor
,,,,
,,,,
???,,"Krawatte, rosa-silber gestreift",,"Lager
Geschenke"
,,,,
???,,"2 Teppiche 
Aserbaidschan +
Tasche (andere Tasche von 1-PV
an Beschenkten überlassen)",,"Lager
Geschenke"
,,,,
???,,"Digitaler Bilderrahmen 
Intenso","ca. 35",Tresor
,,,,
23.02.2010,Zentrale,"Schwarze Statue, ca. 45 cm hoch
(eine Frau, die einen Wasserkrug
trägt)",,"Lager
Geschenke"
,,,,
10.03.2010,Zentrale,"1 Fußball und 2 Trikots mit
Brasilien-Rucksack",,"Lager
Geschenke"
,,,,
05.03.2010,Zentrale,E-Book „Inves Book 600“,299,Tresor
,,,,
10.03.2010,Zentrale,"Münze der Banco Central do
Brasil",,"Lager
Geschenke"
,,,,
???,Zentrale,"Buch Kasachstan-Jahr in Dtl.
2009",,"Lager
Geschenke"
,,,,
06.03.2010,Zentrale,Silberschale,,"Lager
Geschenke"
,,,,
06.03.2010,Zentrale,"1 Glasvase, 1 Glasdose mit
Deckel (blaues Glas, mit
Blumenverzierung)",,"Lager
Geschenke"
,,,,
07.03.2010,Zentrale,"Anhänger für Halskette 
Kreuz
aus Lapislazuli",,"Lager
Geschenke"
,,,,
09.03.2010,Zentrale,"2 Medaillen mit Abbildung des
Parlaments von Uruguay (eine
runde M und eine rechteckige M.)",,"Lager
Geschenke"
,,,,
