Datum ,DienststelleBeschreibung ,Wert
13.11.2008 ,1 Armbanduhr Marke Longines,""
"",Botschaft,""
30.10.2008 ,Dhaka 1 Perlenkette,""
"",Leiter,""
20.11.2008 ,Protokoll 1 Armbanduhr Marke Longines,""
"",Leiter,""
19.12.2008 ,Protokoll 1 Krawatte,""
19.12.2008 ,1 Krawatte,""
20.01.2009 ,Schreibset Marke Pelikan,""
18.02.2009 ,vergoldetes Floßmodell,""
"",Krawattennadel aus Granat,""
18.05.2009 ,Kugelschreiber Marke Cartier,""
"",Kugelschreiber Marke Mont Blanc,""
23.06.2009 ,„Greta Garbot“ ,600
"",KPM-Teller „Schloss,""
26.06.2009 ,Lissabon Charlottenburg“,""
"",Kugelschreiber „Special Edition“,""
20.07.2009 ,Marke Mont Blanc ,"ca. 600,00"
30.09.2009 ,Teller zur Zierde inkl. Aufsteller,""
30.09.2009 ,Tablett,""
30.09.2009 ,(Bild) Holzrahmen,""
02.02.2009 ,Maske,""
13.02.2009 ,Bildband,""
18.02.2009 ,Dose,""
24.03.2009 ,Bild,""
"",kl. Elefantenstatue,""
08.04.2009 ,Deko-Teller,""
22.04.2009 ,Wandteller,""
04.05.2009 ,Münzen,""
07.05.2009 ,Wappen auf Holz,""
07.05.2009 ,Wandteller,""
14.05.2009 ,Glasvase,""
15.05.2009 ,Bildband,""
25.05.2009 ,Mantel + Mütze,""
07.06.2009 ,Schachspiel,""
07.06.2009 ,Buch,""
07.06.2009 ,Stiftehalter,""
16.06.2009 ,Bild,""
23.06.2009 ,Bild,""
17.09.2009 ,vergoldeter Pin,""
12.08.2009 ,Tintenroller Marke „Faber Castell“ ,"ca. 150,00"
26.10.2009 ,zwei Briefmarkenalben BMF,""
"",Dolch,""
"",Dolch,""
"",Dolch,""
"",Aktentasche,""
"",Stift Watermann,""
"",2 Münzen,""
"",Münzen,""
Münzen
Münzen
Stift
2 Stifte
Uhr
Brieföffner
Silberdose Tiffany
Bild mit Dolch
Teller
Bildband
Wandteller
Triptychon
CD
Glasschale
Glasschachspiel
Siegel
Dalvey
Besteck
"Vase Malachit, blau"
Bild mit Silberrahmen
Bild mit gelbgoldenem Rahmen
„Couvent de Casa fumien“
„Ancient Glass Vessels“ antikes
"Glasschälchen, klein"
2 Silbertruhen
"","DVD's: The Pianist, The Three"
"","Colours Trilogy, Polnischer Film"
"","Buch: """"Poland - A History"""" von"
31.10.2009 ,Adam Zamoyski
"",Silberner Füllfederhalter mit
"","Tintenfass in Holzkiste, Firma"
31.10.2009 ,Waldmann
"","Vase, Firma Schoonhoven"
"","Keramiek, ca. 30 cm hoch, vom"
02.11.2009 ,Künstler Corneille gestaltet
"",Quadratische Keramikschale mit
"",Wappen der Französischen
"","Republik, Farben: weiß, blau, gold"
"","(ca. 17x17 cm), Firma Raynaud"
02.11.2009 ,Limoges
"",Goldene Medaille BM Dr. Guido
"","Westerwelle gewidmet,"
02.11.2009 ,Durchmesser ca. 9 cm
"",Hellblaue quadratische Schale
02.11.2009 ,(ca. 12x12 cm)
"","Buch """"Die Stadt Luxemburg:"
"","Streifzüge und Impressionen"""","
"",von Georges Hausemer und Rob
03.11.2009 ,Kieffer
"",Schmuckschatulle aus Holz zum
03.11.2009 ,verschließen (17x26 cm)
"",Silber eingefasster Bilderrahmen
03.11.2009 ,(ca. 19x24 cm)
"","Silberner Teller, innen florales"
"","Muster Farben: blau, rot, türkis,"
"",weiß (Durchmesser ca. 18 cm) in
06.11.2009 ,blauer Schachtel
"",Silberner Teller mit Gravur
"","""""United States Senate"""""
05.11.2009 ,(Durchmesser 21 cm)
"",2 Manschettenknöpfe in silber
"","und gold mit Gravur """"Hillary"
05.11.2009 ,"Rodham Clinton"""""
"","Freedom Award, Statue aus Glas"
08.11.2009 ,(ca. 25 cm hoch)
"",Deutschlandstuhl in Holzkiste (ca.
08.11.2009 ,20 cm hoch)
"","2 Skulpturen in rot, """"Kugel"
"","Spieler"""" von Wang Shugang"
06.11.2009 ,Figuren im Büro des BM
"","Goldener Kugelschreiber, Caran"
12.11.2009 ,d'Ache Genève
"","Kristallfigur, Motiv Gebäude (10"
13.11.2009 ,cm x 10 cm)
"","Blechfigur, Motiv: Mann, mit"
13.11.2009 ,Schweizer Flagge in der Hand
"",Weiße Porzellankanne mit blauer
20.11.2009 ,Verzierung (ca. 21 cm hoch)
"",Quadratisches Bild in Gold mit
"",hebräischer Inschrift (ca. 30 cm x
23.11.2009 ,"30 cm), Designer: A. Klein Ltd."
"",Füllfederhalter mit Inschrift
"","""""Presidencia del Gobierno"
"","España"""", Holzgriff, silberner"
13.11.2009 ,Deckel
