06.01.2014,Zentrale,Tischdecke,"","Lager
Geschenke"
"","","","",""
07.01.2014,Zentrale,Armbanduhr Raidillon,mind. 1.400,Tresor
"","","","",""
08.01.2014,Zentrale,Skulptur,"","Lager
Geschenke"
"","","","",""
08.01.2014,Zentrale,"Bogen Pyramide Christi Geburt
(Weihnachtspyramide)","","Lager
Geschenke"
"","","","",""
15.02.2012,Zentrale,"2 Anstecknadeln mit AGO
Flagge/Emblem","","Lager
Geschenke"
"","","","",""
Dez 2012,Zentrale,"3 DVDs ""Schumann at Pier 2""","","Lager
Geschenke"
"","","","",""
Dez 2012,Zentrale,"CD/DVD 
? 
""Musical Tribute to
the King""","","Lager
Geschenke"
"","","","",""
09.07.2013,Zentrale,"Teeservice für 2 Personen,
Postkarte (Nature of Kazakhstan)","","Lager
Geschenke"
"","","","",""
15.07.2013,Zentrale,Messing-Kännchen mit Vogelkopf,"","Lager
Geschenke"
"","","","",""
24.10.2013,Zentrale,"Kristall-? Stein; silberne Brosche
(Blume) mit braunem Stein in der
Mitte","","Lager
Geschenke"
"","","","",""
03.12.2013,Zentrale,"Bild 
Skyline von Singapur, aus
Holz gefertigt)","","Lager
Geschenke"
"","","","",""
13.12.2013,Zentrale,"silberne Dose 
viereckig 
mit
Pflanzenmuster","","Lager
Geschenke"
"","","","",""
19.12.2013,Zentrale,blau-weiße Porzellandose (rund),"","Lager
Geschenke"
"","","","",""
20.12.2013,Zentrale,"bestickter Mantel und Buch
""Gerettete Schätze Afghanistan -
Die Sammlung des
Nationalmuseums in Kabul""","","Lager
Geschenke"
"","","","",""
23.12.2013,Zentrale,"zwei Heiligenbilder auf Holz gr.
und kl.)","","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,Hermès-Tuch,"","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,Roeckl-Tuch,"","Lager
Geschenke"
"","","","",""
"","","","",""
Dez 2013,Zentrale,"Kettenanhänger 
silber 
mit Achat-
Stein","","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,"hölzernes Tablett 
viereckig,
geschnitzt, mit Glasplatte)","","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,KPM-Bär (Käse),"","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,Adagio-Tuch,"","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,"Buch ""Brasilia - Von der Utopie
zur Hauptstadt""","","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,Kerzenständer,"","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,"Siebdruck ""Stern von
Bethlehehm"" (Künstlerin: Kitty
Kahane)","","Lager
Geschenke"
"","","","",""
Dez 2013,Zentrale,"bunt gemusterte Porzellan-Dose
(Narai Phand) DEFEKT","","Lager
Geschenke"
"","","","",""
2013,Zentrale,Deutsche Welle-Tuch,"","Lager
Geschenke"
"","","","",""
2013,Zentrale,"3 DVDs ""The Colón Ring""","","Lager
Geschenke"
"","","","",""
02.06.2006,Zentrale,"Rote Glasvase mit goldener
Bemalung, Höhe 20cm","","Lager
Geschenke"
"","","","",""
13.01.2014,Zentrale,"kleines Silbergefäß ""Kantharos""","","Lager
Geschenke"
"","","","",""
13.01.2014,Zentrale,Hellas Gravuren,"","Lager
Geschenke"
"","","","",""
13.01.2014,Zentrale,"Bild 
(bunte Farben,viergeteilt)","","Lager
Geschenke"
"","","","",""
16.01.2014,Zentrale,"Kugelschreiber von Hazorfim
personale","","Lager
Geschenke"
"","","","",""
16.01.2014,Zentrale,"Bild aus Perlmutt ""Olive Tree from
Palestine""","","Lager
Geschenke"
"","","","",""
???,Zentrale,Modell einer arabischen Dhau,"","311-RL, Raum
4.1.09"
"","","","",""
"",Zentrale,"hölzernes Modell Borobudur
Temple","",Lager 5.0.10
"","","","",""
03.02.2014,Zentrale,Krawatte Martha´s vineyard,"","Lager
Geschenke"
"","","","",""
05.02.2014,Zentrale,goldene Vase aus Glas/Kupfer,"","Lager
Geschenke"
07.02.2014,Zentrale,"Kristallschale mit Deckel von
Tiffany&Co","","Lager
Geschenke"
11.02.2014,Zentrale,Schale aus Lapislazuli,"","Lager
Geschenke"
11.02.2014,Zentrale,Vase aus Lapislazuli,"","Lager
Geschenke"
11.02.2014,Zentrale,"Briefbeschwerer mit Schriftzug
der AFG Nationalpolizei","","Lager
Geschenke"
11.02.2014,Zentrale,Schale aus Lapislazuli,"","Lager
Geschenke"
12.02.2014,Zentrale,"Stoffdruckstempel mit
Blütenmuster","","Lager
Geschenke"
