Datum ,Dienststelle ,Beschreibung ,Wert
06.01.2014 ,Zentrale ,Tischdecke,""
07.01.2014 ,Zentrale ,Armbanduhr Raidillon ,mind. 1.400
08.01.2014 ,Zentrale ,Skulptur,""
"","",Bogen Pyramide Christi Geburt,""
08.01.2014 ,Zentrale ,(Weihnachtspyramide),""
"","",2 Anstecknadeln mit AGO,""
15.02.2012 ,Zentrale ,Flagge/Emblem,""
Dez 2012 ,Zentrale ,"3 DVDs ""Schumann at Pier 2""",""
"","","CD/DVD (?) ""Musical Tribute to",""
Dez 2012 ,Zentrale ,"the King""",""
"","","Teeservice für 2 Personen,",""
09.07.2013 ,Zentrale ,Postkarte (Nature of Kazakhstan),""
15.07.2013 ,Zentrale ,Messing-Kännchen mit Vogelkopf,""
"","",(Kristall-?)Stein; silberne Brosche,""
"","",(Blume) mit braunem Stein in der,""
24.10.2013 ,Zentrale ,Mitte,""
"","","Bild (Skyline von Singapur, aus",""
03.12.2013 ,Zentrale ,Holz gefertigt),""
"","",silberne Dose (viereckig) mit,""
13.12.2013 ,Zentrale ,Pflanzenmuster,""
19.12.2013 ,Zentrale ,blau-weiße Porzellandose (rund),""
"","",bestickter Mantel und Buch,""
"","","""Gerettete Schätze Afghanistan -",""
"","",Die Sammlung des,""
20.12.2013 ,Zentrale ,"Nationalmuseums in Kabul""",""
"","",zwei Heiligenbilder auf Holz (gr.,""
23.12.2013 ,Zentrale ,und kl.),""
Dez 2013 ,Zentrale ,Hermès-Tuch,""
Dez 2013 ,Zentrale ,Roeckl-Tuch,""
"","",Kettenanhänger (silber) mit Achat-
Dez 2013 ,Zentrale ,Stein
"","","hölzernes Tablett (viereckig,"
Dez 2013 ,Zentrale ,"geschnitzt, mit Glasplatte)"
Dez 2013 ,Zentrale ,KPM-Bär (Käse)
Dez 2013 ,Zentrale ,Adagio-Tuch
"","","Buch ""Brasilia - Von der Utopie"
Dez 2013 ,Zentrale ,"zur Hauptstadt"""
Dez 2013 ,Zentrale ,Kerzenständer
"","","Siebdruck ""Stern von"
"","","Bethlehehm"" (Künstlerin: Kitty"
Dez 2013 ,Zentrale ,Kahane)
"","",bunt gemusterte Porzellan-Dose
Dez 2013 ,Zentrale ,(Narai Phand) DEFEKT
2013 ,Zentrale ,Deutsche Welle-Tuch
2013 ,Zentrale ,"3 DVDs ""The Colón Ring"""
"","",Rote Glasvase mit goldener
02.06.2006 ,Zentrale ,"Bemalung, Höhe 20cm"
13.01.2014 ,Zentrale ,"kleines Silbergefäß ""Kantharos"""
13.01.2014 ,Zentrale ,Hellas Gravuren
13.01.2014 ,Zentrale ,"Bild (bunte Farben,viergeteilt)"
"","",Kugelschreiber von Hazorfim
16.01.2014 ,Zentrale ,personale
"","","Bild aus Perlmutt ""Olive Tree from"
16.01.2014 ,Zentrale ,"Palestine"""
??? ,Zentrale ,Modell einer arabischen Dhau
"","",hölzernes Modell Borobudur
"",Zentrale ,Temple
03.02.2014 ,Zentrale ,Krawatte Martha´s vineyard
05.02.2014 ,Zentrale ,"Wandteller aus Holz, bemalt"
05.02.2014 ,Zentrale ,goldene Vase aus Glas/Kupfer
"","",Kristallschale mit Deckel von
07.02.2014 ,Zentrale ,Tiffany&Co
11.02.2014 ,Zentrale ,Schale aus Lapislazuli
11.02.2014 ,Zentrale ,Vase aus Lapislazuli
"","",Briefbeschwerer mit Schriftzug
11.02.2014 ,Zentrale ,der AFG Nationalpolizei
11.02.2014 ,Zentrale ,Schale aus Lapislazuli
"","",Stoffdruckstempel mit
12.02.2014 ,Zentrale ,Blütenmuster
17.02.2014 ,Zentrale ,Bemalte Schatulle
"","",Bilderrahmen mit arabischem
30.01.2014 ,Zentrale ,Namensschriftzug
"","",Karaffe Glas/Silber Christofle
22.01.2014 ,Zentrale ,Paris
05.02.2014 ,Zentrale ,glasiertes Tongefäß
"","",thailändische Porellandose mit
13.12.2013 ,Zentrale ,Deckel
09.12.2013 ,Zentrale ,Alabasterdose
17.02.2014 ,Zentrale ,Krawatte von Hermès
"",Botschaft,""
18.10.2013 ,Peking ,Seidentuch
13.03.2014 ,Zentrale ,Tuch
"",Botschaft ,kleines Schmuckstück (Spielzeug
09.12.2013 ,Peking ,aus Silber)
"",Botschaft ,Münzsammlung Jugendolympiade
11.09.2013 ,Peking ,Nanjing 2014
17.01.2014 ,Zentrale ,Duftset Dolce & Gabbana
17.01.2014 ,Zentrale ,Krawatte von Hermès
17.01.2014 ,Zentrale ,Schal der Karstadt-Marke Adagio
"","","2 Krawatten Louis Vuitton, 1",""
17.01.2014 ,Zentrale ,"Krawatte Cadini (Teile I,II,III)",""
"","","1 Krawatte Louis Vuitton, 1",""
17.01.2014 ,Zentrale ,"Krawatte Gucci (Teile I,II)",""
"",Botschaft,"",""
14.03.2014 ,Prag ,Herrenhut Borsalino ,150-300
13.03.2014 ,Zentrale ,Fotokalender USA für 2014,""
"","",Seidenschal der Marke Marja,""
28.10.2013 ,Zentrale ,Kurki,""
"","","Herrenarmbanduhr ""Treviso"" von",""
21.10.2013 ,Zentrale ,Aigner ,ca. 100
"",Botschaft,"",""
17.01.2014 ,Prag ,Manschettenknöpfe,""
03.03.2014 ,Zentrale ,Schreibset der Marke Ferraghini ,ca. 35
03.03.2014 ,Zentrale ,Deko Wandteller silber,""
03.03.2014 ,Zentrale ,kleiner Kelimteppich,""
26.03.2014 ,???? ,Metallbild der Lebanese Army,""
28.02.2014 ,Zentrale ,Kalligraphie,""
03.03.2014 ,Zentrale ,Vase,""
03.03.2014 ,Zentrale ,Holzschatulle,""
03.03.2014 ,Zentrale ,Manschettenknöpfe,""
12.03.2014 ,Zentrale ,Adler aus Silber,""
12.03.2014 ,Zentrale ,Manschettenknöpfe,""
20.03.2014 ,Zentrale ,gerahmtes Bild,""
20.03.2014 ,Zentrale ,Stickerei,""
25.02.2014 ,Zentrale ,Tonbild
25.03.2014 ,Zentrale ,"Trikot ""All Blacks"""
29.03.2014 ,Zentrale ,gerahmtes Bild Elefant
"","","goldener Wandteller ""African"
29.03.2014 ,Zentrale ,"Union"""
"","","Gerahmtes Bild ""traditionelles"
29.03.2014 ,Zentrale ,"ETH Kaffeezeremonie"""
29.03.2014 ,Zentrale ,Figur Trommler aus Bronze
31.03.2014 ,Zentrale ,Maske aus Holz und Metall
31.03.2014 ,Zentrale ,Chinesisches Teeservice
02.04.2014 ,Zentrale ,Manschettenknöpfe
03.04.2014 ,Zentrale ,Teeservice
03.04.2014 ,Zentrale ,Goethes Wasserglas
01.04.2014 ,Zentrale ,"Kupfermünzen mit Prägung ""Irak"""
01.04.2014 ,Zentrale ,gewebter Tischläufer
01.04.2014 ,Zentrale ,Plakette
08.04.2014 ,Zentrale ,Holzskulptur
10.04.2014 ,Zentrale ,Silberdose
"","",Paper-Cut Schriftrolle in CHN
16.04.2014 ,Zentrale ,Schrift
16.04.2014 ,Zentrale ,Kirschblüten in Glasbehältnis
16.04.2014 ,Zentrale ,Origami-Kranich aus Kupfer
"","",Lackkunst-Holzschatulle von Iyo
25.04.2014 ,Zentrale ,Sakurai Lacquer Hall
"","",Bild aus buntem Stein im
28.04.2014 ,Zentrale ,Holzrahmen
"","","Bild gerahmt ""Winter in Svaneti"""
28.04.2014 ,Zentrale ,von Kate Meskhi
28.04.2014 ,Zentrale ,Räuchergefäß
"","",Bild aus Keramik im Holzrahmen
16.05.2014 ,Zentrale ,"""Odessa 1794"""
"","",gold- und silberfarbenes Schiff
"","",zum 50-jährigen Bestehen
"","",diplomatischer Beziehungen
21.05.2014 ,Zentrale ,zwischen KWT und DEU
"","",Medaille zum 50-jährigen
"","",Bestehen diplomatischer
"","",Beziehungen zwischen KWT und
21.05.2014 ,Zentrale ,DEU
02.06.2014 ,Zentrale ,Bild aus Kuhleder im Holzrahmen
04.06.2014 ,Zentrale ,"Vase ""Musician"""
04.06.2014 ,Zentrale ,"Besteckservice ""Haddad"""
04.06.2014 ,Zentrale ,Goldfarbenes Modelschiff
"","",Tariq Bin Ziad Independent
"","",Secondary School For Boys
04.06.2014 ,Zentrale ,Medaille im Holzrahmen
04.06.2014 ,Zentrale ,Wind Tower Miniatur Katar
04.06.2014 ,Zentrale ,Buddy Bear
"","",Briefbeschwerer mit Schriftzug
05.06.2014 ,Zentrale ,der AFG Nationalpolizei
12.06.2014 ,Zentrale ,Abbildung Sheihk Zayed Mosque
17.06.2014 ,Zentrale ,Landschaftsgemälde mit Rahmen
17.06.2014 ,Zentrale ,schwarze Schnitzerei
17.06.2014 ,Zentrale ,Holzschatulle mit Münzen
27.05.2014 ,Zentrale ,Münzsammlung
"","",wertvolle Herrenarmbanduhr der
24.06.2014 ,Zentrale ,Marke Longines
17.06.2014 ,Zentrale ,Glasschale
16.04.2014 ,Zentrale ,dekorativer (Wand-)-Teller
"","",hochpreisige Armbanduhr
19.06.2014 ,Zentrale ,(TAGHeuer)
"","",hochpreisige Armbanduhr
19.06.2014 ,Zentrale ,(Baume&Mercier)
"","","wertvolle Uhr, Sonderedition von"
24.06.2014 ,Zentrale ,Tissot
"","",Mini Tomato der Fa. Click and
17.06.2014 ,Zentrale ,Grow
05.06.2008 ,Zentrale ,Elefantenskulptur Kupferlegierung
"","",Bilderrahmen mit Teekanne und
19.06.2014 ,Zentrale ,Tasse
29.06.2014 ,Zentrale ,Metallwimpel
29.06.2014 ,Zentrale ,Gedenkmünze
"","",Plakette anl. Achtelfinale Fußball-
30.06.2014 ,Zentrale ,WM 2014
06.07.2014 ,Zentrale ,Mongolische Pferdekopfpfeife
06.07.2014 ,Zentrale ,"""Credential Tablet"" goldfarben"
"","",Silberabbildung Jerusalem im
14.07.2014 ,Zentrale ,braunem Rahmen
"","","""Das letzte Abendmahl"" in"
14.07.2014 ,Zentrale ,Perlmutrahmen
18.02.2014 ,Zentrale ,zwei Bücher über Quatar
25.02.2014 ,Zentrale ,Bildband Tunesien
??? ,Zentrale ,Teetasse
19.03.2014 ,Zentrale ,Skulptur dunkles Holz
26.06.2014 ,Zentrale ,Bildband
20.05.2014 ,Zentrale ,Schale aus Porzellan
21.05.2014 ,Zentrale ,zwei Münzen
01.06.2014 ,Zentrale ,Münze
24.07.2014 ,Zentrale ,Bild
30.07.2014 ,Zentrale ,Skulptur goldfarben
??? ,Zentrale ,Vase
"","",Buch und CDs Traumreise durch
??? ,Zentrale ,Thailand
??? ,Zentrale ,Schale Porzellan
29.01.2014 ,Zentrale ,Vase aus Porzellan
Feb 2014 ,Zentrale ,"Silberarbeit hinter Glas, gerahmt"
"","","Wandteller (Hand made, Enamel"
06.08.2014 ,Zentrale ,"Work, Material: Copper)"
17.07.2014 ,Zentrale ,Tisch-Glocke
17.07.2014 ,Zentrale ,Manschettenknöpfe Silber-S&B
17.07.2014 ,Zentrale ,bunt bemalte Ton-Flöte
"","",Keramik-Wandteller mit Totenkopf-
17.07.2014 ,Zentrale ,Motiv
17.07.2014 ,Zentrale ,Schachspiel
17.07.2014 ,Zentrale ,"Silbermedaille, 48mm"
28.08.2014 ,Zentrale ,"Pferd, Silber, auf Sockel"
31.08.2014 ,Zentrale ,"Holzschiff, im Glasrahmen"
"","",Aktie 60 Francs Panamakanal
"","","""Titre provisoire de 1889, No."
16.05.2006 ,Zentrale ,"0591229"" Gerahmt, 47x43cm"
"","","Gemälde ""Porte de Chef"" -"
16.01.2013 ,Zentrale ,N´Guessan Essah Marcel
"","",silberner Teller; Ehrenpreis für 34.,""
996 ??? ,??? ,Internationaler NRW-Fußball-Cup,""
"","","Herrenarmbanduhr Bulgari,",""
"","",Aumatic mit schwarzem,""
6.09.2014 ,Zentrale ,Lederband,""
"","","Herrenarmbanduhr Rolex, Modell",""
"","","Oyster Perpetual Datejust,",""
6.09.2014 ,Zentrale ,Edelstahl ,ca. 4.400
1.09.2014 ,Zentrale ,"Obstschale, Perlmutt",""
6.09.2014 ,Zentrale ,"Wandteller, Holz/Kupfer, Pfau",""
6.09.2014 ,Zentrale ,"2 Kerzenständer, Iapislazuli/gold",""
"","","5armiger Kerzenständer,",""
6.09.2014 ,Zentrale ,labpislazuli/gold,""
"","",silbernes Pferd auf goldenem,""
7.09.2014 ,Zentrale ,Sockel,""
"","","Schale, in Form eines",""
8.09.2014 ,Zentrale ,"Tabakblatts, Leder/Holz",""
8.09.2014 ,Zentrale ,Silberschale mit Deckel,""
4.09.2014 ,Zentrale ,"Druck ""Celtic approach""",""
4.09.2014 ,Zentrale ,"Pferdefuß, Silber",""
0.09.2014 ,Zentrale ,handgefertigte Schale aus Tabak,""
0.09.2014 ,Zentrale ,Perlmutt-Teller,""
"","","Glassockel mit Inschrift ""Als Dank",""
"","",für Ihren Beitrag zur Saudi,""
0.09.2014 ,Zentrale ,"Arabischen Kulturwoche""",""
0.09.2014 ,Zentrale ,"Silberteller, 20cm Durchmesser",""
0.09.2014 ,Zentrale ,Meißen-Schale für Stifte,""
"","","Wandteller ""Gulf Research",""
12.10.2014 ,Zentrale ,"Center"", silber",""
14.10.2014 ,Zentrale ,"Teeservice, (Kupfer, vergoldet)",""
14.10.2014 ,Zentrale ,"Goldmünzen, Sotschi (Russland)",""
15.10.2014 ,Zentrale ,Bild-Bronze,""
12.10.2014 ,Zentrale ,"Ring, silber",""
12.10.2014 ,Zentrale ,Gebetskette,""
06.10.2014 ,Zentrale ,"Foto im Rahmen, schwarz-weiss",""
09.10.2014 ,Zentrale ,Vase mit Vogel-Blumen Motiven,""
"","","gerahmtes Bild ""Ibadan Praise",""
21.10.2014 ,Zentrale ,"Singer""",""
