Datum Dienststelle ,"",Beschreibung ,Wert
04.09.2014 Zentrale ,"",Vase,""
08.09.2014 Zentrale ,"",Vase,""
23.09.2014 Zentrale ,"",Tee,""
07.10.2014 Zentrale ,"",Münze,""
10.11.2014 Zentrale ,"",Teller,""
"","",Korkenzieher/,""
19.01.2015 Zentrale ,"",Flaschenverschluss,""
26.11.2014 Zentrale ,"",Gemälde von Klavdij Tutta,""
02.12.2014 Zentrale ,"","Schale, 19cm Durchmesser, 24 Karat gold",""
22.01.2015 Zentrale ,"",Musikinstrument (Laute) Holz/Messing,""
22.01.2015 Zentrale ,"",Blumenvase,""
23.01.2015 Zentrale ,"","Vogelkäfig, silber",""
23.01.2015 Zentrale ,"","Duftflakon, silber",""
23.01.2015 Zentrale ,"","Bäumchen, silber auf Mamorplatte",""
24.01.2015 Zentrale ,"",Kachel im Rahmen/Bild,""
24.01.2015 Zentrale ,"","Tuareg-Kreuze, silber",""
20.01.2015 Zentrale ,"","2 Espresso-Tassen, silber/Messing",""
06.02.2015 Zentrale ,"",Celadon Incense Burner,""
05.02.2015 Zentrale ,"","""Verfassung von Europa"" Wojciech Jastrzebowski",""
12.02.2015 Zentrale ,"gerahmtes Foto, schwarz-weiß"
19.02.2015 Zentrale ,"gerahmtes Bild, Masken, schwarz-weiß"
22.02.2015 Zentrale ,"gerahmtes Bild, Dorf-Szene"
20.02.2015 Zentrale ,"gerahmtes Bild, Händedruck"
16.02.2015 Zentrale ,"Vase, Stroh, goldfarben"
12.02.2015 Zentrale ,Bastkorb mit Ton-Kerzenständer
14.02.2015 Zentrale ,Holzdose mit Silberdeckel
16.05.2008 Zentrale ,Porzellantassenset
18.06.2007 Zentrale ,"Vase aus Kupfer und silber, kürbisförmig"
25.01.2007 Zentrale ,2 Bronzestatuen ca. 40cm blau/gold
??? Zentrale ,"Wandschmuck, Pelzdecke zum Aufhängen"
23.05.2006 Zentrale ,2 Schlüsselanhänger
15.03.2007 Zentrale ,Bilderrahmen 19x24cm
"",Silberne Schale mit der Eingravierung: United States
24.07.2008 Zentrale ,Senate
"","Batteriebetriebene Ölförderanlage auf Holzsockel,"
19.02.2007 Zentrale ,"spielt Musik ab, Größe 60x15cm"
01.07.1905 Zentrale ,Teller inkl Aufsteller
01.07.1905 Zentrale ,Tablett
??? Zentrale ,2 Messer ca. 30cm lang
28.03.2007 Zentrale ,Bild 40x30cm
"","Standsymbol, silber, unten geöffnet, evtl. zum"
09.03.2006 Zentrale ,"Aufstekcen, 19x30cm"
??? Zentrale ,Bild/Seidendruck auf Karton
28.03.2007 Zentrale ,Bild 30x20cm
25.04.2006 Zentrale ,Bild (kaputt)
"","Wandtellerset, Blech, 5-teilig, mit verschiedenen"
11.06.2007 Zentrale ,Motiven libyscher Landschaften
13.06.2008 Zentrale ,Elefantenskulptur Kupferlegierung
29.05.2007 Zentrale ,"Miniatur-Teeservice, gold/grün/rot bemalt"
29.03.2008 Zentrale ,"Kristallschale mit Sternen, 12x30cm"
21.05.2006 Zentrale ,"6 kuwaitische Segelschiffe, Holz"
??? Zentrale ,"besticktes Bild mit Plastikfolie, gerahmt, 50x39cm"
"",silber Empblem. religiöses Motiv gold/silber auf
??? Zentrale ,"Holzrahmen, 24x30cm"
"","Flakon Arab Light Crude Oil und Arab ""D"" Core"
24.05.2006 Zentrale ,"Sample,, 152 Million Years old"
23.05.2006 Zentrale ,"Arabische Kaffeekanne, silber 24x20cm"
15.07.2008 Zentrale ,1 kleine Holzboote mit schwarz-weißen Kordeln
??? Zentrale ,Brieföffner
??? Zentrale ,Lupe
"","12 Apostel, Geburt Jesu Christi in Perlmutt (zum"
"","Chinesische Vase mit Holzsockel, 25cm hoch, ""colorful"
13.06.2008 Zentrale ,"crystal smear"""
"",Sockel aus Bruchstück der alten Staumauer von
"",Rheinfelden und oben aufgesetzter Kubus aus Glas mit
06.06.2008 Zentrale ,nachgebildeter Turbine
"",silbernes Schälchen mit filigranen Ornamenten in
08.10.2008 Zentrale ,blauer Schachtel
03.11.2006 Zentrale ,"steinernes Stilleben im Rahmen (24cm h, 35cm b)"
21.01.2008 Zentrale ,silberner TÜSIAD Teller
"","Silbermünze 3$ mit Bildeinlage-Arbeiten des Sultans,"
13.06.2006 Zentrale ,des Kronprinzen und seiner Frau
"","Steinmosaik, afghanischer Reiter, rund, zum"
22.05.2007 Zentrale ,"Aufhängen, Durchmesser 30cm"
04.07.2008 Zentrale ,Blau gemusterte Vase
"","Schreibunterlage aus braunem Leder (67cm breit,"
23.11.2006 Zentrale ,46cm hoch)
??? Zentrale ,Goldmünze Durchmesser ca 6cm
"","Prozellanteller, ""Kütahya Porselen"", mit goldener"
02.06.2006 Zentrale ,"Verzierung, Rankenmuster"
04.10.2008 Zentrale ,Spieluhr Karussel mit 3 Pferden
14.05.2008 Zentrale ,Prozellanuhr
23.05.2006 Zentrale ,"Krummdolch, silber, 30x23cm"
"","aus Holz geschnitzter Löwe (schwarz), ca. 72cm lang,"
07.04.2009 Zentrale ,"ca. 23cm hoch, (Schwanz ist angebrochen)"
06.07.2007 Zentrale ,Illyrische Gottesstatue ca 30cm
23.05.2007 Zentrale ,Silberschatulle von KSW 3x10x18cm
05.02.2008 Zentrale ,Reitsporen aus Silber
"","Runde Servierschale, versilbert, drei Füße,"
23.05.2007 Zentrale ,Durchmesser 18cm
22.05.2007 Zentrale ,"silberner Teller, Salisbury Pewter, Durchmesser 16cm"
"","Blumentopf bunt mit Blumenmuster, verziert mit"
09.03.2009 Zentrale ,"Elefantenköpfen, Durchmesser 20cm"
"","3-D-gerahmte Stele ""Stele of Hammurabi-Iraq 1792-"
17.02.2009 Zentrale ,"1750 B.C."""
"","Bone letter opener, maori carving in RIMU desk tray"
07.07.2006 Zentrale ,6x19cm
??? Zentrale ,Briefmarkensammlung
22.05.2006 Zentrale ,Silberner Krummdolch 25x32cm mit Gürtel
"","ovales Bild mit Perlmutt bstückt, Motiv 12 Apostel und"
02.06.2008 Zentrale ,Gebet
"",grüner Teller (Durchmesser ca 40cm) und
??? Zentrale ,Holzschnitzerei zum aufstellen
12.02.2008 Zentrale ,Umhang
18.12.2008 Zentrale ,goldener Reif eingerahmt in roter Schachtel
??? Zentrale ,Messinglegiertes Tablett 47cm
"","Großes 3-D-Bild, gerahmt, verglast, Kaffeekanne mit"
08.05.2007 Zentrale ,Becher (Saudi Silver Coffee Pot) 37x46cm
"","Teller von Peggy Karr Glass, viereckiger Glasteller,"
??? Zentrale ,"Motiv Leuchtturm, Adler, Segelschiff"
06.05.2007 Zentrale ,"Bethlehem 3-D-Bild aus Perlmutt, 52/38cm"
04.07.2006 Zentrale ,"Glaskaraffe 27cm hoch, 10cm Durchmesser"
"",Liegendes Kamel aus Malachit und gold gefertigt in
27.10.2008 Zentrale ,roter Truhe
??? Zentrale ,Knochenschnitzerei
09.03.2006 Zentrale ,"6 Kristallgläser (Cognac), aufwändig gearbeitet"
17.07.2008 Zentrale ,Große Vase mit Henkeln (weiß/blau)
"","Standbild aus Holzrahmen, metallgefertigt, links"
"","einheimisches Segelschiff, Palasteingang, Staat Kuwait"
