Annahme von Belohnungen und Geschenken ab der 17. WP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,
Art des Geschenkes,Wert,Verwendung,,Art des Geschenkes,Wert,Verwendung,,Art des Geschenkes,Wert,Verwendung,,Art des Geschenkes,Wert,Verwendung,,Art des Geschenkes,Wert,Verwendung,,Art des Geschenkes,Wert,Verwendung ,,Art des Geschenkes,Wert,Verwendung,,Art des Geschenkes,Wert,Verwendung
Backformen,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",," 1 Buch
 ""Diakonie Stetten – Der Fluss des Lebens"" (Blum/Grohmann)",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,Topaz-Äpfel,unbekannt,"An  der Pforte für
Mitarbeiterinnen und 
Mitarbeiter zur 
Verfügung gestellt",,4 Kästchen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,"1 Buch ""Zwischen
zwei politischen 
Kulturen""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Soziale
Innovationen in 
Deutschland""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Stifthalter für den
Schreibtisch","Wert unter
25€","Verbleib beim 
Beschäftigten",,"1 Buch ""Ich bin eine
Deutsche aus 
Afghanistan""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ"
Buch „Synagoge Rykestraße“,unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Dinkelkissen,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,Briefmarken,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Minischachspiel mit
Zubehör",unbekannt,"Verbleib beim 
Beschäftigten",,1 Bild,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Lernlust.
Worauf es im Leben
wirklich ankommt""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 USB-Stick,"Wert unter
25€","Verbleib beim 
Beschäftigten",,1 Tuschmaschine,"Wert unter
25€","Verbleib beim 
Beschäftigten"
"1 Buch „Mehr Wesentliches; 
Kinderhospiz Balthasar, Olpe",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Blumenstrauß,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,"1 Buch ""Altwerden ist 
nichts für Feiglinge""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 DVD,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,"1 Paar goldene Ohr-
ringe in einer 
Hängevitrine ",unbekannt,"Geschenk wird
im Arbeitsstab
ausgestellt",,"1 Buch ""Die Midlife-
Boomer""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Stofftaschentuch,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
1 Regenschirm,unbekannt,"Einziehung - 
Versteigerung und Erlös an eine soziale Einrichtung",,1 Schal,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,1 Kfz-Verbandtasche,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Armbanduhr 
(Hersteller: Fa. WMC)",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Das Floß der
Medusa- Was wir zum 
Überleben brauchen""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Wir Zukunfts-
sucher - Wie Deutsch-
land enkeltauglich wird""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Schlüsselanhänger,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
"1 Buch „125 Jahre Rheinische 
Kliniken Düren…“",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Adventskalender,"Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,1 Schlüsselband,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch  ""Warum wir uns
ändern müssen""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Grußkartenset,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Älter werden,
Neues wagen""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Kugelschreiber ,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
1 Schneidebrett,unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Flasche 
Aprikosen-Weinessig",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Krawattennadel,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Stollen und 1 Packung
Plätzchen","Wert 
unter 25,- €","Verbleib beim 
Beschäftigten",,,,,,"1 Buch ""Aus Erfahrung
gut - Wie die Älteren
die Arbeitswelt erneuern""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Schaal,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
"1 Buch ""An der Seite der Armen"" ",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Flasche Wein 0,75 l",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Vorbild mit 
kleinen Fehlern""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Packung ""Ratinger
Steine""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,"1 Buch ""40 Jahre DZA,
1974 - 2014""",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Kiste mit Visiten-
kartenhalter","Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
"1 Buch ""Auf Hoffnung hin sind 
wir gerettet – Spe salvi"" ",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Buch
 ""…neue Wege, alte Ziele"" ",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,"1 Buch ""Unterwegs zu Luther""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch ""Deutschland im
Schuldensog""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,"4 Bogen selbst
gestaltetes Geschenk-
papier",unbekannt,"Verbleib beim 
Beschäftigten",,1 Spiegel,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
"1 Audio-CD ""Tatort: Das Böse""",unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,"1 Buch
 "" Friedensethik und Sicherheitspolitik"" ",unbekannt,"Einlieferung in die 
Bibliothek des BMFSFJ",,1 Kiste Lebkuchen,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,1 Tasche,unbekannt,"Einziehung - 
wird bereitgehalten zur Versteigerung und Erlös an eine soziale Einrichtung",,,,,,1 Fächer,"Wert unter
25€","Verbleib beim 
Beschäftigten",,1 Poster,"Wert unter
25€","Verbleib beim 
Beschäftigten",,,,
