< 10,00 €; Schokolade; пеіп; Verwertung
nicht ermittelbar; 1 Buch; nein; Aufnahme Bestand Bibliothek
< 25,00 €; 1 Kunstdruck; ja;
< 25,00 €; 1 Kalender; ja;
< 25,00 €; 3 Flaschen Sekt; ja;
< 25,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
nicht ermittelbar; 1 Buch; nein; Aufnahme Bestand Bibliothek
nicht ermittelbar; 1 Buch; nein; Aufnahme Bestand Bibliothek
ca. З0,00 €; 6 Teller; ja (Auflage Spende)
< 25,00 €; Schokolade; ja;
< 25,00 €; Schokolade; ja;
< 25,00 €; 1 Buch; ja;
< 25,00 €; Schokolade; ja;
< 25,00 €; 1 Bierkelch; ja;
< 25,00 €; Schokolade; ja;
< 25,00 €; Schokolade; ja;
< 25,00 €; CD; ja;
< 25,00 €; Schokoladen-Weihnachtsmann; ja;
< 25,00 €; 1 Buch; ja;
< 25.00 €; Lebensmittel; ja;
< 25,00 €; Süßigkeiten; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Kalender, 2 Flaschen Wein; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Kalender, 2 Flaschen Wein; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Kalender, 2 Flaschen Wein; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Kalender, 2 Flaschen Wein; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Kalender, 2 Flaschen Wein; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Kalender, 2 Flaschen Wein; ja;
< 25,00 €; Kalender; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,00 €; Kalender, Süßigkeiten; ja;
< 25,00 €; Süßigkeiten, Weihnachtsgebäck; ja;
< 25,0O €; Kalender, Süßigkeiten; ja;
< 25,00 €; 1 kleine Holzskulptur; nein; Verwertung
ca. 35,00 €; 1 Kugelschreiber; nein; Verwertung
< 12,00 €; 1 Buch; ja;
< 15,00 €; kleiner Schrein mit jadestein; nein; Verwertung
< 15,00 €; chinesische Briefmarken; nein; Verwertung
< 25,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
ca. 10,00 €; 1 Flasche Wein; ja;
nicht ermittelbar; Bewirtung; ja;
nicht ermittelbar; Bewirtung; ja;
ca. 10,00 €; 1 Hammer mit Namensgravur; ja;
< 25,00 €; 1 Krawatte; ja;
ca. 5,00 €; 1 Warnweste; nein; Verwertung
nicht ermittelbar; Bewirtung; ja;
са. 10,00 €; 1 Flasche Wein; ja;
са. 10,00 €; 1 Flasche Wein; ja;
< 25,00 Bewirtung; ja;
< 25,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
ca. 30,00 €; 1 Ausstellungskatalog; nein; Aufnahme Bestand Bibliothek
< 25,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
nicht ermittelbar; Bewirtung; ja;
ca. 5,00 €; 1 Krawattennadel; ja;
ca. 5,00 €; 1 Schlüsselanhänger; ja;
са. 5,00 €; 1 Schlüsselanhänger; ja;
ca. 5,00 €; 1 Krawattennadel; ja;
ca. 5,00 €; 1 Schlüsselanhänger; ja;
< 25,00 €; 2 Broschüren; nein; Aufnahme Bestand Bibliothek
98,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
39,90 €; 1 Buch; ja (Auflage Spende)
< 25,00 €; 1 Flasche Spirituose; ja;
nicht ermittelbar; Bewirtung; ja;
< 25,00 €; 1 Powerbank-Akku; ja;
< 25,00 €; Bleistiftbox mit fünf Stiften; ja;
< 30,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 10,00 €; 1 kleiner Kunstdruck; ja;
< 25,00 €; kleine Flasche Spirituose, Schokolade; ja;
< 10,00 €; 2 Brotdosen; ja;
< 40,00 €; 1 Buch; nein; Aufnahme Bestand Bibliothek
< 5,00 €; Süßigkeiten; ja;
< 5,00 €; Süßigkeiten; ja;
< 5,00 €; Süßigkeiten; ja;
< 5,00 €; Süßigkeiten; ja;
< 5,00 €; 1 Mauspad; ja;
nicht ermittelbar; Bewirtung; ja;
< 10,00 €; 1 Buch; nein; Verwertung
ca. 20,00 €; Bewirtung; ja;
nicht ermittelbar; Bewirtung; ja;
nicht ermittelbar; Bewirtung; ja
