eingerahmte Briefmarken (Rumänien),,Tombola
"Bildband ""Beautiful L`Aquila Must Never Die""",,Tombola
Teeservice,,Tombola
"Glasblock, Metallteller, 2 Gläser, 1 Flasche Whisky",,Tombola
Silber-Becher,200.00 ,Versteigerung (Hauptzollamt)
Buch,13.22 ,Tombola
Gedenktafel,,Tombola
Krawattennadel-Set,ca. 17 ,Tombola
Tischdecke der schwed. Firma Klässbols,295.90 ,Versteigerung (Hauptzollamt)
Schachtel mit drei Stechformen für Plätzchen sowie ein Rezeptheft,,Tombola
"Leder-Notizbuch Marke ""Bodenschatz""",36.90 ,Tombola
"Laser-Entfernungsmesser Marke ""Bosch""",39.99 ,Tombola
"Kugelschreiber, Schlüsselanhänger",,Tombola
Tischkalender,,Inventarisierung
Schachtel mit drei Stechformen für Plätzchen sowie ein Rezeptheft,,Tombola
Olypiamünzen 2008,,Tombola
"Bildband ""Unterwasserwelt der kroatischen Adria""",,Tombola
CeBIT-Tageskarte,33.00,dienstliche Nutzung durch Mitarbeiter des BMI
"1 Wimpel, 1 Schal, 1 Basekap von Dinamo Minsk",,Tombola
"Museumsführer Prado Kunstbuch zu Marice de Vlamnick",,Selbstbehalt gegen Spende (Spendennachweis eingegangen)
Handbücher für den öffentl. Dienst in Deutschland 2010,"je 23,90","1 Selbstbehalt 1 Bibliothek"
1 Bildband,,Tombola
1 Ledergürtel,,Tombola
1 Kerzenleuchter,,Tombola
1 Dienststellenplakette 1 Wandbild,,Tombola
1 Krawatte,,Tombola
Kompass,,Tombola
Handbücher für den öffentl. Dienst in Deutschland 2010,,dienstl. Nutzung durch Mitarbeiter des Referates
Schmuckkästchen,,Tombola
DVD Museumsdorf Dudutki,mehrere Stoffschals 2 kleine Keramikkrüge 2 Sets Abzeichen Sondereinheit Speznaz 2 Wimpel Speznaz 1 Schachspiel 1 Bison Holz Wandwappen Innenministerium Belarus 1 bemalte Flasche mit 4 Kammern 1 Kaffeeservice",,Tombola
Teller,,Tombola
Füllfederhalter,,Tombola
Lesezeichen,,Tombola
"1 Bild m. Aufdruck Kosovo 1 USB-Stick m. Trageband Espresso-Tassen 1 Armbanduhr",,Tombola
3 CDs mit chin. Musik,,Tombola
3 CDs mit chin. Musik,,Tombola
"1 Photo Crystal ""With great apreciation"" 1 Tuch der Firma Striessning Wien",,Tombola
2 Facial Make up of Chinese Peking Opera,,Tombola
1 Buch über Reden und Gedenkworte,,Tombola 
Besoldungsrecht; Band 115,,Bibliothek - Dauerleihgabe
1 Flasche Hubacker Riesling 2005,,Tombola
Bildband Anjou - Villes et villages,,Tombola
"2 Schlüsselanhänger 1 Visitenkartenbehältnis",,Tombola
Besoldungsrecht; Band 115,,Bibliothek - Dauerleihgabe
"1 Conference Bag 1 Bildband Stuttgart",,Tombola
Schmuckkästchen,,Tombola
Hotelführer London,,Tombola
Schatulle mit seidenem Wandbehang,,Tombola
"1 Bierkrug, 1 Keramikbild",,Tombola
"Holztafel mit Motiven Seidenschal Buch m. Scherenschnitten",,Tombola
Buch: Menschenrechtliche Standards in der Sicherheitspolitik,,Dauerleihgabe
"Tasche m. Post-Logo Briefmarken (eigenes Foto) Kugelschreiber/Bleistift v. Faber-Castell","unter 25,00 ","Tombola Selbstbehalt Versteigerung"
Glasvase,,Tombola
Appetize-Besteck,,Tombola
2 Gutscheine Lufthansa,a 25€,Reisestelle Z 8
"Stäbchen, Schal, Wandbehang, Standbild",,Tombola
