"Buch "Internationales Vertragsrecht"","199,00 ",Bibliothek BMJV
Kalender des Korsch-Verlages ,"25,00 ",Mitarbeiter
1 Flasche Wein ,"25,00",BMJV
"Buch "Götting/Nordeman UWG" Handkommentar","98,00",Bibliothek BMJV
2 Kalender für das Jahr 2010 ,"Je 25,00 ",Mitarbeiterin
Miniatur eines Löwens ,"25,00",Mitarbeiter
1 Flasche Wein ,"25,00",Mitarbeiter
1 Kassette mit kleinen Skulpturen von Gesichtsmasken für Opern,"25,00 ",Mitarbeiter
1 Flasche Champagner ,"25,00 ",Mitarbeiter 
1 Taschenkalender ,"10,00 ",Mitarbeiter
1 Wandkalender ,"10,00 ", Mitarbeiter
"1 Notebock "Delllnspirion Mini 10"","249,00 ",BMJV
1 ledergebundener Jahreskalender ,"ca. 15,00", Mitarbeiterin
1 Wandkalender ,"15,95 ",Mitarbeiter 
1 Buchkalender für 2010 ,"25,00 ", Mitarbeiter
"Buch "Geschäftsanteilabtretungen im Ausland"","24,90 ",Mitarbeiter
