Datum,Geschenke,Wert in Euro
"","",""
11.12.2012,2 Fl. Wein,"unter 25,00"
18.12.2012,Rausch Schokolade,"25,00 - 75,00"
"","",""
25.02.2013,"1 hölzerne Gedenkplakette1 Holzkästchen1 Tuch1 Damenkleid","unter 25,00unter 25,00unter 10,00 25,00 - 75,00"
13.05.2013,"Mongolei-ReiseMünzsammlung Great Khans ofthe Mongol Empire 1206-1368","unter 25,00"
13.05.2013,"Uhr Baganuur Joint Stock Company",keine Wertermittlung
13.05.2013,"Holzkiste incl. Historisches Buch über die Geschickte der Mongols",keine Wertermittlung
15.05.2013,"Besuchergruppe aus Baden-Württemberg1 Flasche Wein",keine Wertermittlung
28.06.2013,"Holzbrett/Holztafel (gepresstes Holz) mit einer christlichen Holzfigur.","unter 25,00"
03.07.2013,Ein Bild,keine Wertermittlung
09.07.2013,1 Flasche Champagner,keine Wertermittlung
11.07.2013,1 Laptoptasche,keine Wertermittlung
16.07.2013,"2 Flaschen Bier, 1 Kochbuch,0,448 Kg Fleisch",keine Wertermittlung
29.10.2013,1 Halskette aus Tigeraugen,"25,00 - 75,00"
30.10.2013,Juve Handbuch Wirtschaftskanzleien,"25,00 - 75,00"
05.11.2013,"Max Lingner ""Das Spätwerk 1949-1959","25 ,00 - 75,00"
06.11.2013,"1 Buch1 kleine Holzfigur","25,00 - 75,00"
15.11.2013,1 Buch - Mama Muh räumt auf.,"unter 25,00"
20.11.2013,"1 braune Handtasche, 1 grüner Schal",keine Wertermittlung
27.11.2013,"1 Stofftasche, 1 Kalender und1 Tischläufer mit 3 Kissenbezügen","unter 25,00"
28.11.2013,"1 Ammonit1 Briefmarkensammlung","unter 25,00"
12.12.2013,"1 Kupfertisch1 Bild","unter 25,00"
16.12.2013,Kalender,"unter 10,00"
20.12.2013,"Kalender von der GIZPralinen SäckchenPralinenschachtelRucksack","unter 10,00unter 10,00unter 10,0025,00 - 75,00"
07.01.2014,1 DVD Lang Lang Simon Rattle,keine Wertermittlung
24.01.2014,"1 Bild mit Holzbilderrahmen1 Tischdecke aus Baumwolle 80 x 801 Tischläufer aus Baumwolle1 Behälter mit 12 Untersätzern",keine Wertermittlung
30.01.2014,Sonderdrucke,"unter 25,00"
07.02.2014,1 Kalender,"unter 25,00"
05.01.2015,Messingkaraffe,"unter 25,00"
06.01.2015,kleine Teedose m. Beuteltee,"unter 25,00"
14.01.2015,Kochbuch -Körbchen 3 Gewürztütchen,"unter 25,00"
"",Bastdose mit Tee,"unter 25,00"
24.02.2015,Holzkästchen,"unter 25,00"
16.03.2015,Kochbuch der GIZ,"unter 25,00"
21.04.2015,kleiner Elefant aus Marmor,"unter 25,00"
29.04.2015,1 Buch,"ca. 25,00"
06.05.2015,Ammoniten-Mamorplatte,"25,00 - 75,00"
27.05.2015,1 Flasche (Rum),"unter 25,00"
27.05.2015,1 Schal der Firma (Gobi),"75,00 - 125,00"
09.06.2015,2 CD von Carlos Vives,"unter 25,00"
09.06.2015,500 gr. Kolumbianischer Kaffee,"unter 25,00"
16.07.2015,Adapter von SKROSS,"25,00 - 75,00"
17.07.2015,Krawatte,"unter 25,00"
07.08.2015,beigefarbener Schal,"unter 25,00"
07.08.2015,beigefarbener Schal,"unter 25,00"
10.09.2015,Einladung Konzert,"75,00 - 125,00"
23.09.2015,Münzsammlung,"25,00 - 75,00"
23.09.2015,Einladung Konzert,"75,00 - 125,00"
23.09.2015,Einladung Konzert,"75,00 - 125,00"
25.09.2015,Einladung Konzert,"75,00 - 125,00"
30.09.2015,Bild A3 mit nigrischen Metallformen,"unter 25,00"
01.10.2015,Einladung Konzert,"75,00 - 125,00"
01.10.2015,1 Straußenei,"25,00 - 75,00"
12.11.2015,Schlüsselanhänger u. 4 Serviettenringe,"unter 25,00"
04.12.2015,Adventskalender,"unter 25,00"
09.12.2015,3 kl.  Holzboxen,"unter 25,00"
09.12.2015,kleiner Teppich,"unter 25,00"
09.12.2015,Wandkalender,"25,00 - 75,00"
14.12.2015,"Notizbuch + Stift, Halstuch","25,00 - 75,00"
17.12.2015,je ein Bild m. Holzrahmen (Schriftzug),"unter 25,00"
17.12.2015,"Buch ""Spacebook""","unter 25,00"
17.12.2015,Schal,"25,00 - 75,00"
18.12.2015,Pralinen,"unter 25,00"
21.12.2015,Öl-Flasche,"unter 25,00"
05.01.2016,"Buch ""Wie wir Deutschen ticken""","unter 25,00"
07.01.2016,Fotobuch mit Elefantenmotiv,"unter 25,00"
08.01.2016,"Bildband, CD, türkische Pralinen Izmir","unter 25,00"
11.01.2016,LED-USB-Taschenlampe,"25,00 - 75,00"
14.01.2016,Aktentasche (schwarz),keine Wertermittlung
19.01.2016,2 Karnevalskarten,"25,00 - 75,00"
17.02.2016,Flasche Vodka,"25,00 - 75,00"
