Einladung eines Angehörigen zur Teilnahme an einer Kinopremiere ,"< 25,00 ",kostenfreie Überlassung
ein Buch ,"18,00 ",kostenfreie Überlassung
ein Taschenmesser ,"45,00 ",Rückgabe an Schenkungsgeber 
Präsentkarton mit drei Flaschen Wein ,"< 25,00 ",kostenfreie Überlassung 
"eine Flasche Weinbrand 0,35 I ","< 25,00 ",kostenfreie Überlassung . 
Flasche Champagner ,"< 25,00 ",kostenfreie Überlassul}g_ 
Postwertzeichen ,"75,00 ",Vereinnahmung in den Bestand der Bw 
CHN-Uhr ,"49,00 ",Vereinnahmung in den Bestand der Bw 
Wappenteller ,"18,90 ",kostenfreie Überlassung 
Holzkiste Rotwein + Weinutensilien ,"24,30 ",kostenfreie Überlassung 
Flaschenöffner ,"29,00 ", persönliche Verwendung gg. Bezahlung
"Buch ""Geschichte der U-Boot-Seerohre bei Carl Zeiss","29,95 ",persönliche Verwendung gg. Bezahlung
Uhr auf Sockel ,"30,00 ",persönliche Verwendung gg. Bezahlung
Rollbild Seidenstickerei ,"39,90 ",persönliche Verwendung gg. Bezahlung 
Kaftan ,"45,00 ",persönliche Verwendung gg. Bezahlung 
Taschenmesser ,"45,00 ",persönliche Verwendung gg. Bezahlung 
Teeservice ,"48,61 ",persönliche Verwendung gg. Bezahlung 
Mongolischer Reiter ,"49,90 ",persönliche Verwendung gg. Bezahlung 
Krawatte+Manschettenknöpfe ,"50,00 ",persönliche Verwendung gg. Bezahlung 
Metallbild (lndonesien) ,"55,00 ",persönliche Verwendung gg. Bezahlung 
Taschenmesser ,"55,00 ",persönliche Verwendung gg. Bezahlung 
Buch ,"59,90 ",persönliche Verwendung gg. Bezahlung 
Armbanduhr ,"71,45 ",persönliche Verwendung gg. Bezahlung 
Uhr+ Buch ,"75,80 ",persönliche Verwendung gg. BezahlunQ 
Teppich ,"125,00 ",persönliche Verwendung gg. Bezahlung 
Teppich ,"180,33 ",persönliche Verwendung gg. Bezahlung 
Teppich ,"245,00 ",persönliche Verwendung gg. Bezahlung 
Armbanduhr ,"390,00 ",persönliche Verwendung gg. Bezahlung 
Armbanduhr ,"390,00 ",persönliche Verwendung gg. Bezahlung 
Armbanduhr ,"390,00 ",QQ. Bezahlung 
Armbanduhr ,"825,00 ",persönliche Verwendung gg. Bezahlung 
Krawatte ,"54,90 ",Annahme abgelehnt, Rückgabe an Schenkungsgeber
reich verzierte Marmorvase ,n.a. ,Gastgeschenk, ist in das Eigentum des Bundes übergegangen
Manschettenknöpfe und Kravatte ,"50,00 ", persönliche Verwendung gegen Spende
ein Modellauto (Maßstab 1 :87) ,"12,00 ",kostenfreie Überlassung 
ein Modellauto (Maßstab 1 :87) ,"12,00 ",kostenfreie Überlassung 
ein T -Shirt mit Beflockung ,"< 25,00 ",kostenfreie Überlassung
eine Krawattennadel ,"< 25,00 ",kostenfreie Überlassung
ein Fläschchen 5 cl Becherovka ,"< 25,00 ",kostenfreie Überlassung
einT-Shirtmit Beflockung ,"< 25,00 ",kostenfreie Überlassung
eine Krawattennadel ,"< 25,00 ",kostenfreie Überlassung
ein Fläschchen 5 cl Becherovka ,"< 25,00 ",kostenfreie Überlassung
ein Modellauto (Maßstab 1 :87) ,"12,00 ",kostenfreie Überlassung
einT-Shirtmit Beflockung ,"< 25,00 ",kostenfreie Überlassung
eine Krawattennadel ,"< 25,00 ",kostenfreie Überlassung
ein Fläschchen 5 cl Becherovka ,"< 25,00 ",kostenfreie Überlassung
Angebot zum Besuch der Wiener Staatsoper ,n.a., Annahme abgelehnt
"drei Bücher im Wert von jeweils über 25,00 ", > 75, Abgabe an Bibliothek
ein Buch ,"24,95 ",Abgabe an Bibliothek
je ein Buch an drei Personen ,"198,00 ",Abgabe an Bibliothek
ein Buch ,"19,95 ",kostenfreie Überlassung
ein Buch ,"39,90 ",Abgabe an Bibliothek
ein Modellflugzeug (Maßstab 1 :48) ,"67,00 ",Rückgabe an Schenkungsgeber
ein Buch ,"48,00 ",Abgabe an Bibliothek
eine USB-Powerbank und ein USB-Ventilator beide mit Werbeaufdruck ,"< 25,00 ",kostenfreie Überlassung
"zwei T -Shirt im Wert von je 19,95 Euro, die ","39,90",kostenfreie Überlassung
verschiedene Kalender ,"< 25,00 ",kostenfreie Überlassung
eine Stofftasche ,"< 25,00 ",kostenfreie Überlassung
eine Medaille ,"< 25,00 ",kostenfreie Überlassung
ein Taschenmesser ,"< 25,00 ",kostenfreie Überlassung
ein Taschenmesser ,"< 25,00 ",kostenfreie Überlassung
"eine Flasche Klarer 0,35 I ","< 25,00 ",kostenfreie Überlassung
eine Lieder-CD ,"< 25,00 ",kostenfreie Überlassung
eine Weihnachtskarte mit je zwei weihnachtli- ,unter ,""
chen Sammelbriefmarken ,"25,00 ",kostenfreie Überlassung 
eine Weihnachtskarte mit je zwei weihnachtli- ,unter ,""
chen Sammelbriefmarken ,"25,00 ",kostenfreie Überlassung 
ein Jahreskalender von der Sparkasse ,"< 25,00 ",kostenfreie Überlassung
"Buchkalender ""Die gute Saat 2012"" ","< 25,00 ",kostenfreie Überlassung
Kalender der Fa. SAP ,"< 25,00 ",kostenfreie Überlassung
""ein Buch ein silberfarbener Teller ,n.a. , Gastgeschenk ist in das Eigentum des Bundes übergegangen
Präsentkarton mit drei Flaschen Wein ,"25,00 ",kostenfreie Überlassung 
Tischuhr im Holzwürfel ,"< 25,00 ",kostenfreie Überlassung
Wappen ,"< 25,00 ",kostenfreie Überlassung
Wappen ,"< 25,00 ",kostenfreie Überlassung
Wappen ,"< 25,00 ",kostenfreie Überlassung
Kugelschreiber ,"< 25,00 ",kostenfreie Überlassung
"diverse Wandkalender verschiedener Firmen im Wert von je 5,- bis 10,- Euro ","< 25,00 ",kostenfreie Überlassung
ein Erinnerungsfoto ehemaliger Bw-Soldaten und eine Flasche Allgäuer Gebirgsenzian ,"< 25,00 ",kostenfreie Überlassung
"Herrenduft, 50 ml ",n.a. ,Gastgeschenk ist in das Eigentum des Bundes übergegangen 
"Damenduft, 30 ml ",n.a. ,Gastgeschenk ist in das Eigentum des Bundes übergegangen
