"Tischdecke", 2014, 01, 06, 00.00, False, False, Lager Geschenke, fail, AA
"Armbanduhr Raidillon", 2014, 01, 07, 1400, False, True, Tresor, fail, AA
"Skulptur", 2014, 01, 08, 00.00, False, False, Lager Geschenke, fail, AA
"Bogen Pyramide Christi Geburt (Weihnachtspyramide)", 2014, 01, 08, 00.00, False, False, Lager Geschenke, fail, AA
"2 Anstecknadeln mit AGO Flagge/Emblem", 2012, 02, 15, 00.00, False, False, Lager Geschenke, fail, AA
"3 DVDs 'Schumann at Pier 2'", Dez 2012, 02, 15, 00.00, False, False, Lager Geschenke, fail, AA
"CD/DVD  ?  'Musical Tribute to the King'", Dez 2012, 02, 15, 00.00, False, False, Lager Geschenke, fail, AA
"Teeservice für 2 Personen, Postkarte (Nature of Kazakhstan)", 2013, 07, 09, 00.00, False, False, Lager Geschenke, fail, AA
"Messing-Kännchen mit Vogelkopf", 2013, 07, 15, 00.00, False, False, Lager Geschenke, fail, AA
"Kristall-? Stein; silberne Brosche (Blume) mit braunem Stein in der Mitte", 2013, 10, 24, 00.00, False, False, Lager Geschenke, fail, AA
"Bild  Skyline von Singapur, aus Holz gefertigt)", 2013, 12, 03, 00.00, False, False, Lager Geschenke, fail, AA
"silberne Dose  viereckig  mit Pflanzenmuster", 2013, 12, 13, 00.00, False, False, Lager Geschenke, fail, AA
"blau-weiße Porzellandose (rund)", 2013, 12, 19, 00.00, False, False, Lager Geschenke, fail, AA
"bestickter Mantel und Buch 'Gerettete Schätze Afghanistan - Die Sammlung des Nationalmuseums in Kabul'", 2013, 12, 20, 00.00, False, False, Lager Geschenke, fail, AA
"zwei Heiligenbilder auf Holz gr. und kl.)", 2013, 12, 23, 00.00, False, False, Lager Geschenke, fail, AA
"Hermès-Tuch", Dez 2013, 12, 23, 00.00, False, False, Lager Geschenke, fail, AA
"Roeckl-Tuch", Dez 2013, 12, 23, 00.00, False, False, Lager Geschenke, fail, AA
"Kettenanhänger  silber  mit Achat- Stein", Dez 2013, 12, 23, 00.00, False, False, Lager Geschenke, fail, AA
"hölzernes Tablett  viereckig, geschnitzt, mit Glasplatte)", Dez 2013, 12, 23, 00.00, False, False, Lager Geschenke, fail, AA
"KPM-Bär (Käse)", Dez 2013, 12, 23, 00.00, False, False, Lager Geschenke, fail, AA
