|Einladung eines Angehörigen zur Teilnahme an einer Kinopremiere |, 0000, 00, 00, 00.00, True, false,| kostenfreie Überlassung|, success, BMV
|ein Buch |, 0000, 00, 00, 018.00, True, False,| kostenfreie Überlassung|, success, BMV
|ein Taschenmesser |, 0000, 00, 00, 045.00, False, True,| Rückgabe an Schenkungsgeber |, fail, BMV
|Präsentkarton mit drei Flaschen Wein |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassung |, success, BMV
|eine Flasche Weinbrand 0|,35 I , 0000, 00, 00, 00.00, True,| True|, kostenfreie Überlassung . , success
|Flasche Champagner |, 0000, 00, 00, 00.00, True, True,| kostenfreie Überlassul}g_ |, success, BMV
|Postwertzeichen |, 0000, 00, 00, 075.00, False, True,| Vereinnahmung in den Bestand der Bw |, fail, BMV
|CHN-Uhr |, 0000, 00, 00, 049.00, False, True,| Vereinnahmung in den Bestand der Bw |, fail, BMV
|Wappenteller |, 0000, 00, 00, 018.90, True, False,| kostenfreie Überlassung |, success, BMV
|Holzkiste Rotwein + Weinutensilien |, 0000, 00, 00, 024.30, True, False,| kostenfreie Überlassung |, success, BMV
|Flaschenöffner |, 0000, 00, 00, 029.00, False, True,|  persönliche Verwendung gg. Bezahlung|, success, BMV
|Buch 'Geschichte der U-Boot-Seerohre bei Carl Zeiss|, 0000, 00, 00, 029.95, False, True,| persönliche Verwendung gg. Bezahlung|, success, BMV
|Uhr auf Sockel |, 0000, 00, 00, 030.00, False, True,| persönliche Verwendung gg. Bezahlung|, success, BMV
|Rollbild Seidenstickerei |, 0000, 00, 00, 039.90, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Kaftan |, 0000, 00, 00, 045.00, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Taschenmesser |, 0000, 00, 00, 045.00, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Teeservice |, 0000, 00, 00, 048.61, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Mongolischer Reiter |, 0000, 00, 00, 049.90, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Krawatte+Manschettenknöpfe |, 0000, 00, 00, 050.00, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Metallbild (lndonesien) |, 0000, 00, 00, 055.00, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
|Taschenmesser |, 0000, 00, 00, 055.00, False, True,| persönliche Verwendung gg. Bezahlung |, success, BMV
